path,video_path,label,subject,dataset,start_frame,end_frame,start_seconds,end_seconds,fall_onset_seconds,pose_valid_ratio,selector_score
Subject 1/ADL/16.mp4#f0-63,Subject 1/ADL/16.mp4,0,1,gmdcsa24,0,63,0.000000,2.133156,,1.000000,0.041989121586084366
Subject 1/Fall/01.mp4#f96-159,Subject 1/Fall/01.mp4,1,1,gmdcsa24,96,159,3.246755,5.377437,3.400000,1.000000,0.990632176399231
Subject 1/Fall/02.mp4#f32-95,Subject 1/Fall/02.mp4,1,1,gmdcsa24,32,95,1.078434,3.201601,1.900000,1.000000,0.9969447255134583
Subject 1/Fall/03.mp4#f48-111,Subject 1/Fall/03.mp4,1,1,gmdcsa24,48,111,1.614991,3.734667,2.500000,1.000000,0.982302188873291
Subject 1/Fall/04.mp4#f32-95,Subject 1/Fall/04.mp4,1,1,gmdcsa24,32,95,1.087408,3.228243,2.300000,1.000000,0.9928261041641235
Subject 1/Fall/05.mp4#f32-95,Subject 1/Fall/05.mp4,1,1,gmdcsa24,32,95,1.077266,3.198133,1.800000,1.000000,0.995904266834259
Subject 1/Fall/06.mp4#f32-95,Subject 1/Fall/06.mp4,1,1,gmdcsa24,32,95,1.078766,3.202587,2.200000,1.000000,0.9943866729736328
Subject 1/Fall/07.mp4#f16-79,Subject 1/Fall/07.mp4,1,1,gmdcsa24,16,79,0.538928,2.660958,1.100000,1.000000,0.9656179547309875
Subject 1/Fall/08.mp4#f16-79,Subject 1/Fall/08.mp4,1,1,gmdcsa24,16,79,0.539961,2.666056,0.800000,1.000000,0.7720073461532593
Subject 1/Fall/09.mp4#f48-111,Subject 1/Fall/09.mp4,1,1,gmdcsa24,48,111,1.642088,3.797330,0.700000,1.000000,0.9938670992851257
Subject 1/Fall/10.mp4#f0-63,Subject 1/Fall/10.mp4,1,1,gmdcsa24,0,63,0.000000,2.130347,0.700000,1.000000,0.6662253141403198
Subject 1/Fall/11.mp4#f64-127,Subject 1/Fall/11.mp4,1,1,gmdcsa24,64,127,2.155987,4.278286,1.000000,1.000000,0.30619460344314575
Subject 1/Fall/12.mp4#f112-175,Subject 1/Fall/12.mp4,1,1,gmdcsa24,112,175,3.826704,5.979225,1.900000,1.000000,0.9875106811523438
Subject 1/Fall/13.mp4#f0-63,Subject 1/Fall/13.mp4,1,1,gmdcsa24,0,63,0.000000,2.126906,0.400000,1.000000,0.23517362773418427
Subject 1/Fall/14.mp4#f16-79,Subject 1/Fall/14.mp4,1,1,gmdcsa24,16,79,0.539393,2.663251,0.300000,1.000000,0.44519779086112976
Subject 1/Fall/15.mp4#f80-143,Subject 1/Fall/15.mp4,1,1,gmdcsa24,80,143,2.697333,4.821483,1.800000,1.000000,0.9963153004646301
Subject 1/Fall/16.mp4#f112-175,Subject 1/Fall/16.mp4,1,1,gmdcsa24,112,175,3.772915,5.895180,2.800000,1.000000,0.9936113953590393
Subject 2/ADL/01.mp4#f32-95,Subject 2/ADL/01.mp4,0,2,gmdcsa24,32,95,1.072345,3.183524,,1.000000,0.9983769655227661
Subject 2/ADL/02.mp4#f160-223,Subject 2/ADL/02.mp4,0,2,gmdcsa24,160,223,5.360636,7.471387,,1.000000,0.9998806715011597
Subject 2/ADL/03.mp4#f272-335,Subject 2/ADL/03.mp4,0,2,gmdcsa24,272,335,9.120659,11.233164,,1.000000,0.9746744632720947
Subject 2/ADL/04.mp4#f64-127,Subject 2/ADL/04.mp4,0,2,gmdcsa24,64,127,2.144693,4.255875,,1.000000,0.13983020186424255
Subject 2/ADL/05.mp4#f16-79,Subject 2/ADL/05.mp4,0,2,gmdcsa24,16,79,0.535853,2.645774,,1.000000,0.9899270534515381
Subject 2/ADL/06.mp4#f96-159,Subject 2/ADL/06.mp4,0,2,gmdcsa24,96,159,3.215970,5.326450,,1.000000,0.09109696745872498
Subject 2/ADL/07.mp4#f208-271,Subject 2/ADL/07.mp4,0,2,gmdcsa24,208,271,6.965534,9.075287,,1.000000,0.12082190066576004
Subject 2/ADL/08.mp4#f224-287,Subject 2/ADL/08.mp4,0,2,gmdcsa24,224,287,7.502682,9.612812,,1.000000,0.9029186367988586
Subject 2/ADL/09.mp4#f96-159,Subject 2/ADL/09.mp4,0,2,gmdcsa24,96,159,3.217752,5.329401,,1.000000,0.883205235004425
Subject 2/ADL/10.mp4#f144-207,Subject 2/ADL/10.mp4,0,2,gmdcsa24,144,207,4.822110,6.931783,,1.000000,0.0734715387225151
Subject 2/ADL/11.mp4#f64-127,Subject 2/ADL/11.mp4,0,2,gmdcsa24,64,127,2.144494,4.255480,,1.000000,0.0766993910074234
Subject 2/ADL/12.mp4#f96-159,Subject 2/ADL/12.mp4,0,2,gmdcsa24,96,159,3.214745,5.324422,,1.000000,0.9915221929550171
Subject 2/ADL/13.mp4#f16-79,Subject 2/ADL/13.mp4,0,2,gmdcsa24,16,79,0.534985,2.641488,,1.000000,0.9057673215866089
Subject 2/ADL/14.mp4#f32-95,Subject 2/ADL/14.mp4,0,2,gmdcsa24,32,95,2.131579,6.328126,,1.000000,0.8787463307380676
Subject 2/ADL/15.mp4#f112-175,Subject 2/ADL/15.mp4,0,2,gmdcsa24,112,175,7.459200,11.655000,,1.000000,0.9056249260902405
Subject 2/ADL/16.mp4#f64-127,Subject 2/ADL/16.mp4,0,2,gmdcsa24,64,127,4.268196,8.469701,,1.000000,0.325762540102005
Subject 2/ADL/17.mp4#f48-111,Subject 2/ADL/17.mp4,0,2,gmdcsa24,48,111,3.199698,7.399302,,1.000000,0.139850452542305
Subject 2/ADL/18.mp4#f80-143,Subject 2/ADL/18.mp4,0,2,gmdcsa24,80,143,5.332724,9.532244,,1.000000,0.742202877998352
Subject 2/ADL/19.mp4#f0-63,Subject 2/ADL/19.mp4,0,2,gmdcsa24,0,63,0.000000,4.198542,,1.000000,0.9994630217552185
Subject 2/ADL/20.mp4#f32-95,Subject 2/ADL/20.mp4,0,2,gmdcsa24,32,95,2.133102,6.332646,,1.000000,0.9959238767623901
Subject 2/ADL/21.mp4#f0-63,Subject 2/ADL/21.mp4,0,2,gmdcsa24,0,63,0.000000,4.198405,,1.000000,0.5079416632652283
Subject 2/ADL/22.mp4#f0-63,Subject 2/ADL/22.mp4,0,2,gmdcsa24,0,63,0.000000,4.198604,,1.000000,0.9075028896331787
Subject 2/ADL/23.mp4#f32-95,Subject 2/ADL/23.mp4,0,2,gmdcsa24,32,95,2.137336,6.345216,,1.000000,0.38057565689086914
Subject 2/Fall/01.mp4#f64-127,Subject 2/Fall/01.mp4,1,2,gmdcsa24,64,127,2.145044,4.256572,1.400000,1.000000,0.9971809387207031
Subject 2/Fall/02.mp4#f80-143,Subject 2/Fall/02.mp4,1,2,gmdcsa24,80,143,2.681873,4.793848,2.700000,0.968750,0.996345579624176
Subject 2/Fall/03.mp4#f128-191,Subject 2/Fall/03.mp4,1,2,gmdcsa24,128,191,4.292003,6.404473,0.000000,1.000000,0.9853883385658264
Subject 2/Fall/04.mp4#f96-159,Subject 2/Fall/04.mp4,1,2,gmdcsa24,96,159,3.213524,5.322399,3.300000,1.000000,0.9763197898864746
Subject 2/Fall/05.mp4#f48-111,Subject 2/Fall/05.mp4,1,2,gmdcsa24,48,111,1.610003,3.723132,0.800000,1.000000,0.9777780175209045
Subject 2/Fall/06.mp4#f64-127,Subject 2/Fall/06.mp4,1,2,gmdcsa24,64,127,2.143032,4.252580,2.100000,1.000000,0.9980860948562622
Subject 2/Fall/07.mp4#f64-127,Subject 2/Fall/07.mp4,1,2,gmdcsa24,64,127,2.146639,4.259737,2.000000,1.000000,0.9996022582054138
Subject 2/Fall/08.mp4#f112-175,Subject 2/Fall/08.mp4,1,2,gmdcsa24,112,175,3.752516,5.863306,3.200000,1.000000,0.9923284649848938
Subject 2/Fall/09.mp4#f32-95,Subject 2/Fall/09.mp4,1,2,gmdcsa24,32,95,1.073086,3.185724,1.800000,1.000000,0.9973287582397461
Subject 2/Fall/10.mp4#f16-79,Subject 2/Fall/10.mp4,1,2,gmdcsa24,16,79,1.067066,5.268638,2.000000,1.000000,0.9986246824264526
Subject 2/Fall/11.mp4#f64-127,Subject 2/Fall/11.mp4,1,2,gmdcsa24,64,127,4.263983,8.461342,5.900000,1.000000,0.9604049324989319
Subject 2/Fall/12.mp4#f96-159,Subject 2/Fall/12.mp4,1,2,gmdcsa24,96,159,6.395165,10.591992,6.900000,1.000000,0.9999716281890869
Subject 2/Fall/13.mp4#f32-95,Subject 2/Fall/13.mp4,1,2,gmdcsa24,32,95,2.140391,6.354286,2.500000,1.000000,0.9914820194244385
Subject 2/Fall/14.mp4#f16-79,Subject 2/Fall/14.mp4,1,2,gmdcsa24,16,79,1.066803,5.267341,3.400000,1.000000,0.9831982254981995
Subject 2/Fall/15.mp4#f224-287,Subject 2/Fall/15.mp4,1,2,gmdcsa24,224,287,7.508699,9.620521,7.700000,1.000000,0.992253839969635
Subject 2/Fall/16.mp4#f0-63,Subject 2/Fall/16.mp4,1,2,gmdcsa24,0,63,0.000000,2.109170,0.800000,1.000000,0.9960055947303772
Subject 2/Fall/17.mp4#f64-127,Subject 2/Fall/17.mp4,1,2,gmdcsa24,64,127,2.143461,4.253431,2.500000,1.000000,0.9924055933952332
Subject 2/Fall/18.mp4#f272-335,Subject 2/Fall/18.mp4,1,2,gmdcsa24,272,335,9.108873,11.218649,9.800000,1.000000,0.9999173879623413
Subject 2/Fall/19.mp4#f224-287,Subject 2/Fall/19.mp4,1,2,gmdcsa24,224,287,7.509225,9.621195,8.200000,1.000000,0.9953840374946594
Subject 2/Fall/20.mp4#f208-271,Subject 2/Fall/20.mp4,1,2,gmdcsa24,208,271,6.968385,9.079002,7.900000,1.000000,0.9656448364257812
Subject 2/Fall/21.mp4#f160-223,Subject 2/Fall/21.mp4,1,2,gmdcsa24,160,223,5.365202,7.477750,6.200000,1.000000,0.9999557733535767
Subject 2/Fall/22.mp4#f32-95,Subject 2/Fall/22.mp4,1,2,gmdcsa24,32,95,1.073824,3.187914,1.300000,1.000000,0.997393012046814
Subject 2/Fall/23.mp4#f96-159,Subject 2/Fall/23.mp4,1,2,gmdcsa24,96,159,3.216142,5.326736,3.600000,1.000000,0.9999417066574097
Subject 2/Fall/24.mp4#f80-143,Subject 2/Fall/24.mp4,1,2,gmdcsa24,80,143,2.680676,4.791708,3.300000,1.000000,0.9972350001335144
Subject 2/Fall/25.mp4#f80-143,Subject 2/Fall/25.mp4,1,2,gmdcsa24,80,143,2.678128,4.787155,3.000000,1.000000,0.9997230172157288
Subject 3/ADL/01.mp4#f128-191,Subject 3/ADL/01.mp4,0,3,gmdcsa24,128,191,4.292904,6.405818,,1.000000,0.1256905496120453
Subject 3/ADL/02.mp4#f16-79,Subject 3/ADL/02.mp4,0,3,gmdcsa24,16,79,0.535533,2.644195,,1.000000,0.07755261659622192
Subject 3/ADL/03.mp4#f0-63,Subject 3/ADL/03.mp4,0,3,gmdcsa24,0,63,0.000000,2.111727,,1.000000,0.2240995466709137
Subject 3/ADL/04.mp4#f224-287,Subject 3/ADL/04.mp4,0,3,gmdcsa24,224,287,7.503627,9.614021,,1.000000,0.8559756278991699
Subject 3/ADL/05.mp4#f48-111,Subject 3/ADL/05.mp4,0,3,gmdcsa24,48,111,1.611210,3.725924,,1.000000,0.06384968012571335
Subject 3/ADL/06.mp4#f64-127,Subject 3/ADL/06.mp4,0,3,gmdcsa24,64,127,2.144216,4.254928,,1.000000,0.8706218600273132
Subject 3/ADL/07.mp4#f0-63,Subject 3/ADL/07.mp4,0,3,gmdcsa24,0,63,0.000000,2.107665,,1.000000,0.3606836795806885
Subject 3/ADL/08.mp4#f16-79,Subject 3/ADL/08.mp4,0,3,gmdcsa24,16,79,0.536566,2.649296,,1.000000,0.9877775311470032
Subject 3/ADL/09.mp4#f0-63,Subject 3/ADL/09.mp4,0,3,gmdcsa24,0,63,0.000000,2.111577,,1.000000,0.7556374073028564
Subject 3/ADL/10.mp4#f288-351,Subject 3/ADL/10.mp4,0,3,gmdcsa24,288,351,9.651933,11.763293,,1.000000,0.139230877161026
Subject 3/ADL/11.mp4#f288-351,Subject 3/ADL/11.mp4,0,3,gmdcsa24,288,351,9.638427,11.746832,,1.000000,0.10077149420976639
Subject 3/ADL/12.mp4#f64-127,Subject 3/ADL/12.mp4,0,3,gmdcsa24,64,127,4.269333,8.471958,,1.000000,0.05909990146756172
Subject 3/ADL/13.mp4#f0-63,Subject 3/ADL/13.mp4,0,3,gmdcsa24,0,63,0.000000,4.187804,,1.000000,0.09891632199287415
Subject 3/ADL/14.mp4#f0-63,Subject 3/ADL/14.mp4,0,3,gmdcsa24,0,63,0.000000,4.199511,,1.000000,0.17155008018016815
Subject 3/ADL/15.mp4#f0-63,Subject 3/ADL/15.mp4,0,3,gmdcsa24,0,63,0.000000,4.199215,,1.000000,0.04976684972643852
Subject 3/ADL/16.mp4#f0-63,Subject 3/ADL/16.mp4,0,3,gmdcsa24,0,63,0.000000,2.111790,,1.000000,0.07297919690608978
Subject 3/ADL/17.mp4#f0-63,Subject 3/ADL/17.mp4,0,3,gmdcsa24,0,63,0.000000,4.198650,,1.000000,0.058648481965065
Subject 3/ADL/18.mp4#f80-143,Subject 3/ADL/18.mp4,0,3,gmdcsa24,80,143,5.327649,9.523172,,1.000000,0.06510578095912933
Subject 3/ADL/19.mp4#f0-63,Subject 3/ADL/19.mp4,0,3,gmdcsa24,0,63,0.000000,4.187122,,1.000000,0.09262555837631226
Subject 3/ADL/20.mp4#f64-127,Subject 3/ADL/20.mp4,0,3,gmdcsa24,64,127,4.263625,8.460632,,1.000000,0.059230655431747437
Subject 3/ADL/21.mp4#f208-271,Subject 3/ADL/21.mp4,0,3,gmdcsa24,208,271,6.973251,9.085341,,1.000000,0.2997857928276062
Subject 3/ADL/22.mp4#f176-239,Subject 3/ADL/22.mp4,0,3,gmdcsa24,176,239,5.901659,8.014185,,1.000000,0.05256916955113411
Subject 3/Fall/01.mp4#f16-79,Subject 3/Fall/01.mp4,1,3,gmdcsa24,16,79,0.534667,2.639917,0.000000,1.000000,0.9968494772911072
Subject 3/Fall/02.mp4#f80-143,Subject 3/Fall/02.mp4,1,3,gmdcsa24,80,143,2.678245,4.787363,2.600000,1.000000,0.7742202877998352
Subject 3/Fall/03.mp4#f96-159,Subject 3/Fall/03.mp4,1,3,gmdcsa24,96,159,3.220101,5.333292,1.500000,1.000000,0.9923737645149231
Subject 3/Fall/04.mp4#f96-159,Subject 3/Fall/04.mp4,1,3,gmdcsa24,96,159,3.214253,5.323606,1.200000,1.000000,0.9959420561790466
Subject 3/Fall/05.mp4#f176-239,Subject 3/Fall/05.mp4,1,3,gmdcsa24,176,239,5.895629,8.005996,3.200000,1.000000,0.9967299699783325
Subject 3/Fall/06.mp4#f64-127,Subject 3/Fall/06.mp4,1,3,gmdcsa24,64,127,2.141160,4.248864,0.000000,1.000000,0.9948698282241821
Subject 3/Fall/07.mp4#f0-63,Subject 3/Fall/07.mp4,1,3,gmdcsa24,0,63,0.000000,2.113755,1.000000,1.000000,0.997936487197876
Subject 3/Fall/08.mp4#f16-79,Subject 3/Fall/08.mp4,1,3,gmdcsa24,16,79,0.545144,2.691649,0.000000,1.000000,0.9972742199897766
Subject 3/Fall/09.mp4#f96-159,Subject 3/Fall/09.mp4,1,3,gmdcsa24,96,159,3.212508,5.320716,3.300000,1.000000,0.9962130784988403
Subject 3/Fall/10.mp4#f64-127,Subject 3/Fall/10.mp4,1,3,gmdcsa24,64,127,2.142567,4.251656,1.700000,1.000000,0.997300922870636
Subject 3/Fall/11.mp4#f128-191,Subject 3/Fall/11.mp4,1,3,gmdcsa24,128,191,4.288479,6.399215,4.700000,1.000000,0.9982103109359741
Subject 3/Fall/12.mp4#f48-111,Subject 3/Fall/12.mp4,1,3,gmdcsa24,48,111,1.608630,3.719957,1.600000,1.000000,0.995947539806366
Subject 3/Fall/13.mp4#f48-111,Subject 3/Fall/13.mp4,1,3,gmdcsa24,48,111,1.605911,3.713669,1.400000,1.000000,0.9876503348350525
Subject 3/Fall/14.mp4#f240-303,Subject 3/Fall/14.mp4,1,3,gmdcsa24,240,303,8.047259,10.159664,8.100000,1.000000,0.9893654584884644
Subject 3/Fall/15.mp4#f0-63,Subject 3/Fall/15.mp4,1,3,gmdcsa24,0,63,0.000000,4.187375,1.900000,1.000000,0.9962906837463379
Subject 3/Fall/16.mp4#f16-79,Subject 3/Fall/16.mp4,1,3,gmdcsa24,16,79,1.069064,5.278502,1.800000,1.000000,0.9537808895111084
Subject 3/Fall/17.mp4#f48-111,Subject 3/Fall/17.mp4,1,3,gmdcsa24,48,111,3.192512,7.382685,1.400000,1.000000,0.8114567399024963
Subject 3/Fall/18.mp4#f96-159,Subject 3/Fall/18.mp4,1,3,gmdcsa24,96,159,6.403739,10.606193,4.200000,1.000000,0.9988163709640503
Subject 3/Fall/19.mp4#f16-79,Subject 3/Fall/19.mp4,1,3,gmdcsa24,16,79,1.063008,5.248601,2.000000,1.000000,0.9977712631225586
Subject 3/Fall/20.mp4#f0-63,Subject 3/Fall/20.mp4,1,3,gmdcsa24,0,63,0.000000,4.183066,2.300000,1.000000,0.9942365288734436
Subject 3/Fall/21.mp4#f208-271,Subject 3/Fall/21.mp4,1,3,gmdcsa24,208,271,6.960889,9.069236,5.400000,1.000000,0.9928073883056641
Subject 4/ADL/01.mp4#f240-303,Subject 4/ADL/01.mp4,0,4,gmdcsa24,240,303,8.044152,10.155741,,1.000000,0.0496014729142189
Subject 4/ADL/02.mp4#f96-159,Subject 4/ADL/02.mp4,0,4,gmdcsa24,96,159,3.218733,5.331026,,1.000000,0.047402333468198776
Subject 4/ADL/03.mp4#f0-63,Subject 4/ADL/03.mp4,0,4,gmdcsa24,0,63,0.000000,2.110783,,1.000000,0.044577546417713165
Subject 4/ADL/04.mp4#f304-367,Subject 4/ADL/04.mp4,0,4,gmdcsa24,304,367,10.192984,12.305346,,1.000000,0.043668102473020554
Subject 4/ADL/05.mp4#f112-175,Subject 4/ADL/05.mp4,0,4,gmdcsa24,112,175,3.747758,5.855871,,1.000000,0.9896628260612488
Subject 4/ADL/06.mp4#f96-159,Subject 4/ADL/06.mp4,0,4,gmdcsa24,96,159,3.221682,5.335910,,1.000000,0.9649416208267212
Subject 4/ADL/07.mp4#f64-127,Subject 4/ADL/07.mp4,0,4,gmdcsa24,64,127,2.144816,4.256119,,1.000000,0.9944614171981812
Subject 4/ADL/08.mp4#f0-63,Subject 4/ADL/08.mp4,0,4,gmdcsa24,0,63,0.000000,2.112126,,1.000000,0.44686368107795715
Subject 4/ADL/09.mp4#f208-271,Subject 4/ADL/09.mp4,0,4,gmdcsa24,208,271,6.969417,9.080347,,1.000000,0.047879286110401154
Subject 4/ADL/10.mp4#f304-367,Subject 4/ADL/10.mp4,0,4,gmdcsa24,304,367,10.187343,12.298535,,1.000000,0.9953134059906006
Subject 4/ADL/11.mp4#f128-191,Subject 4/ADL/11.mp4,0,4,gmdcsa24,128,191,4.288587,6.399375,,1.000000,0.0538819283246994
Subject 4/ADL/12.mp4#f96-159,Subject 4/ADL/12.mp4,0,4,gmdcsa24,96,159,3.215925,5.326376,,1.000000,0.04977262392640114
Subject 4/ADL/13.mp4#f80-143,Subject 4/ADL/13.mp4,0,4,gmdcsa24,80,143,2.677821,4.786605,,1.000000,0.04227463901042938
Subject 4/ADL/14.mp4#f32-95,Subject 4/ADL/14.mp4,0,4,gmdcsa24,32,95,1.071699,3.181606,,1.000000,0.06873095780611038
Subject 4/ADL/15.mp4#f80-143,Subject 4/ADL/15.mp4,0,4,gmdcsa24,80,143,2.681543,4.793258,,1.000000,0.9590950608253479
Subject 4/ADL/16.mp4#f144-207,Subject 4/ADL/16.mp4,0,4,gmdcsa24,144,207,4.825397,6.936508,,1.000000,0.9832966327667236
Subject 4/ADL/17.mp4#f0-63,Subject 4/ADL/17.mp4,0,4,gmdcsa24,0,63,0.000000,2.108592,,1.000000,0.1408662497997284
Subject 4/ADL/18.mp4#f0-63,Subject 4/ADL/18.mp4,0,4,gmdcsa24,0,63,0.000000,2.109592,,1.000000,0.08343030512332916
Subject 4/ADL/19.mp4#f16-79,Subject 4/ADL/19.mp4,0,4,gmdcsa24,16,79,0.535423,2.643653,,1.000000,0.05764879286289215
Subject 4/ADL/20.mp4#f0-63,Subject 4/ADL/20.mp4,0,4,gmdcsa24,0,63,0.000000,2.110608,,1.000000,0.07680321484804153
Subject 4/Fall/01.mp4#f32-95,Subject 4/Fall/01.mp4,1,4,gmdcsa24,32,95,1.072230,3.183183,1.800000,1.000000,0.9939723610877991
Subject 4/Fall/02.mp4#f0-63,Subject 4/Fall/02.mp4,1,4,gmdcsa24,0,63,0.000000,2.107574,1.500000,1.000000,0.9963191747665405
Subject 4/Fall/03.mp4#f48-111,Subject 4/Fall/03.mp4,1,4,gmdcsa24,48,111,1.609328,3.721571,1.700000,1.000000,0.9997950196266174
Subject 4/Fall/04.mp4#f16-79,Subject 4/Fall/04.mp4,1,4,gmdcsa24,16,79,0.535781,2.645417,1.200000,1.000000,0.9940581321716309
Subject 4/Fall/05.mp4#f80-143,Subject 4/Fall/05.mp4,1,4,gmdcsa24,80,143,2.682220,4.794469,2.700000,1.000000,0.9918294548988342
Subject 4/Fall/06.mp4#f64-127,Subject 4/Fall/06.mp4,1,4,gmdcsa24,64,127,2.143697,4.253899,1.100000,1.000000,0.9858766794204712
Subject 4/Fall/07.mp4#f80-143,Subject 4/Fall/07.mp4,1,4,gmdcsa24,80,143,2.682993,4.795850,2.400000,1.000000,0.9927612543106079
Subject 4/Fall/08.mp4#f96-159,Subject 4/Fall/08.mp4,1,4,gmdcsa24,96,159,3.212424,5.320576,2.300000,1.000000,0.9850061535835266
Subject 4/Fall/09.mp4#f96-159,Subject 4/Fall/09.mp4,1,4,gmdcsa24,96,159,3.217184,5.328462,2.300000,1.000000,0.9984526634216309
Subject 4/Fall/10.mp4#f48-111,Subject 4/Fall/10.mp4,1,4,gmdcsa24,48,111,1.607703,3.717814,2.200000,1.000000,0.9935917258262634
Subject 4/Fall/11.mp4#f32-95,Subject 4/Fall/11.mp4,1,4,gmdcsa24,32,95,1.073286,3.186319,1.200000,1.000000,0.9931700229644775
Subject 4/Fall/12.mp4#f48-111,Subject 4/Fall/12.mp4,1,4,gmdcsa24,48,111,1.608812,3.720377,1.500000,1.000000,0.9934897422790527
Subject 4/Fall/13.mp4#f64-127,Subject 4/Fall/13.mp4,1,4,gmdcsa24,64,127,2.144802,4.256091,0.300000,1.000000,0.9921014904975891
Subject 4/Fall/14.mp4#f32-95,Subject 4/Fall/14.mp4,1,4,gmdcsa24,32,95,1.069975,3.176489,0.800000,1.000000,0.9950188398361206
Subject 4/Fall/15.mp4#f48-111,Subject 4/Fall/15.mp4,1,4,gmdcsa24,48,111,1.605341,3.712350,0.000000,1.000000,0.9973472356796265
Subject 4/Fall/16.mp4#f96-159,Subject 4/Fall/16.mp4,1,4,gmdcsa24,96,159,3.217645,5.329225,3.200000,1.000000,0.9976961016654968
Subject 4/Fall/17.mp4#f96-159,Subject 4/Fall/17.mp4,1,4,gmdcsa24,96,159,3.213650,5.322608,2.800000,1.000000,0.9921200275421143
