route,sample,label,probability,baseline_prediction,pose_valid_ratio,quality_decision,baseline_correct,quality_reasons
RTMPose+ST-GCN++,dataset/dataset/chute04/cam6.avi#f339-369,0,0.12359660,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute04/cam6.avi#f370-400,1,0.62138987,1,1.000000,FALL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute04/cam6.avi#f401-431,0,0.75587535,1,1.000000,FALL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute04/cam6.avi#f686-716,1,0.99364850,1,0.640625,FALL,1,"{""target_jump"": 23}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam6.avi#f717-747,0,0.99086638,1,0.234375,UNKNOWN,0,"{""target_jump"": 49, ""torso_missing"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam7.avi#f340-370,0,0.99756067,1,0.500000,FALL,0,"{""implausible_bone"": 19, ""target_jump"": 28, ""too_few_joints"": 2, ""torso_missing"": 32}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam7.avi#f371-401,1,0.14391298,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute04/cam7.avi#f402-432,0,0.11730916,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute04/cam7.avi#f687-717,1,0.15047491,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute04/cam7.avi#f718-748,0,0.07768644,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute04/cam8.avi#f313-343,0,0.20396177,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute04/cam8.avi#f344-374,1,0.67361356,1,0.968750,FALL,1,"{""target_jump"": 2, ""torso_missing"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam8.avi#f375-405,0,0.99563482,1,0.125000,UNKNOWN,0,"{""too_few_joints"": 52, ""torso_missing"": 56}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam8.avi#f660-690,1,0.88845436,1,0.609375,FALL,1,"{""implausible_bone"": 2, ""torso_missing"": 25}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam8.avi#f691-721,0,0.98124258,1,0.812500,FALL,0,"{""torso_missing"": 12}"
RTMPose+ST-GCN++,dataset/dataset/chute05/cam2.avi#f333-363,1,0.95534770,1,0.781250,FALL,1,"{""implausible_bone"": 10, ""torso_missing"": 10}"
RTMPose+ST-GCN++,dataset/dataset/chute05/cam2.avi#f364-394,0,0.96146885,1,0.625000,FALL,0,"{""implausible_bone"": 22, ""target_jump"": 2, ""torso_missing"": 4}"
RTMPose+ST-GCN++,dataset/dataset/chute05/cam4.avi#f320-350,1,0.68069176,1,0.812500,FALL,1,"{""implausible_bone"": 6, ""target_jump"": 2, ""torso_missing"": 10}"
RTMPose+ST-GCN++,dataset/dataset/chute05/cam4.avi#f351-381,0,0.99999496,1,0.062500,UNKNOWN,0,"{""implausible_bone"": 12, ""target_jump"": 6, ""torso_missing"": 54}"
RTMPose+ST-GCN++,dataset/dataset/chute05/cam5.avi#f327-357,1,0.99718481,1,0.671875,FALL,1,"{""implausible_bone"": 12, ""target_jump"": 4, ""torso_missing"": 15}"
RTMPose+ST-GCN++,dataset/dataset/chute05/cam5.avi#f358-388,0,0.82833989,1,0.281250,UNKNOWN,0,"{""implausible_bone"": 36, ""target_jump"": 6, ""torso_missing"": 28}"
RTMPose+ST-GCN++,dataset/dataset/chute05/cam6.avi#f335-365,1,0.32257522,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute05/cam6.avi#f366-396,0,0.81079143,1,0.875000,FALL,0,"{""target_jump"": 8}"
RTMPose+ST-GCN++,dataset/dataset/chute05/cam7.avi#f337-367,1,0.99678855,1,0.828125,FALL,1,"{""too_few_joints"": 5, ""torso_missing"": 11}"
RTMPose+ST-GCN++,dataset/dataset/chute05/cam7.avi#f368-398,0,0.52536218,1,0.937500,FALL,0,"{""too_few_joints"": 2, ""torso_missing"": 4}"
RTMPose+ST-GCN++,dataset/dataset/chute05/cam8.avi#f309-339,1,0.99894613,1,0.718750,FALL,1,"{""implausible_bone"": 6, ""target_jump"": 6, ""torso_missing"": 18}"
RTMPose+ST-GCN++,dataset/dataset/chute05/cam8.avi#f340-370,0,0.96045999,1,0.000000,UNKNOWN,0,"{""implausible_bone"": 38, ""too_few_joints"": 19, ""torso_missing"": 64}"
RTMPose+ST-GCN++,dataset/dataset/chute06/cam2.avi#f632-662,0,0.24751313,0,0.968750,ADL,1,"{""implausible_bone"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute06/cam2.avi#f683-713,1,0.18600122,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam2.avi#f703-733,1,0.19327917,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam2.avi#f740-770,0,0.10661071,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam4.avi#f622-652,0,0.12472356,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam4.avi#f673-703,1,0.41908907,0,0.968750,ADL,0,"{""implausible_bone"": 2, ""target_jump"": 2, ""torso_missing"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute06/cam4.avi#f693-723,1,0.99933803,1,0.500000,FALL,1,"{""implausible_bone"": 19, ""target_jump"": 9, ""torso_missing"": 24}"
RTMPose+ST-GCN++,dataset/dataset/chute06/cam4.avi#f730-760,0,0.94155574,1,0.062500,UNKNOWN,0,"{""implausible_bone"": 58, ""target_jump"": 13, ""too_few_joints"": 9, ""torso_missing"": 56}"
RTMPose+ST-GCN++,dataset/dataset/chute06/cam5.avi#f622-652,0,0.17133735,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam5.avi#f673-703,1,0.16932229,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam5.avi#f693-723,1,0.27459785,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam5.avi#f730-760,0,0.20861588,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam6.avi#f635-665,0,0.15238723,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam6.avi#f686-716,1,0.65410535,1,0.968750,FALL,1,"{""implausible_bone"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute06/cam6.avi#f706-736,1,0.99258049,1,0.875000,FALL,1,"{""implausible_bone"": 2, ""torso_missing"": 6}"
RTMPose+ST-GCN++,dataset/dataset/chute06/cam6.avi#f743-773,0,0.81431864,1,0.843750,FALL,0,"{""torso_missing"": 10}"
RTMPose+ST-GCN++,dataset/dataset/chute06/cam7.avi#f635-665,0,0.17961162,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam7.avi#f686-716,1,0.18010288,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam7.avi#f706-736,1,0.64654124,1,1.000000,FALL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam7.avi#f743-773,0,0.10860922,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam8.avi#f621-651,0,0.20429480,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam8.avi#f672-702,1,0.21021965,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam8.avi#f692-722,1,0.21006774,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute06/cam8.avi#f729-759,0,0.57525279,1,0.875000,FALL,0,"{""implausible_bone"": 2, ""target_jump"": 8, ""torso_missing"": 8}"
RTMPose+ST-GCN++,dataset/dataset/chute07/cam2.avi#f460-490,0,0.17445656,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute07/cam2.avi#f491-521,1,0.83504818,1,0.968750,FALL,1,"{""too_few_joints"": 2, ""torso_missing"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute07/cam4.avi#f445-475,0,0.27199252,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute07/cam4.avi#f476-506,1,0.16960184,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute07/cam5.avi#f463-493,0,0.20531542,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute07/cam5.avi#f494-524,1,0.99985635,1,0.250000,UNKNOWN,1,"{""implausible_bone"": 46, ""target_jump"": 2, ""torso_missing"": 48}"
RTMPose+ST-GCN++,dataset/dataset/chute07/cam6.avi#f463-493,0,0.14253949,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute07/cam6.avi#f494-524,1,0.07799958,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute07/cam7.avi#f463-493,0,0.24028776,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute07/cam7.avi#f494-524,1,0.18895555,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute07/cam8.avi#f463-493,0,0.23885325,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute07/cam8.avi#f494-524,1,0.41615379,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute08/cam2.avi#f319-349,0,0.17243381,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute08/cam2.avi#f350-380,1,0.99592365,1,0.703125,FALL,1,"{""target_jump"": 17, ""too_few_joints"": 2, ""torso_missing"": 12}"
RTMPose+ST-GCN++,dataset/dataset/chute08/cam4.avi#f321-351,0,0.13220094,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute08/cam4.avi#f352-382,1,0.99490719,1,0.671875,FALL,1,"{""implausible_bone"": 15, ""target_jump"": 4, ""torso_missing"": 15}"
RTMPose+ST-GCN++,dataset/dataset/chute08/cam5.avi#f304-334,0,0.20436228,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute08/cam5.avi#f335-365,1,0.93784459,1,0.640625,FALL,1,"{""implausible_bone"": 21, ""target_jump"": 2, ""torso_missing"": 23}"
RTMPose+ST-GCN++,dataset/dataset/chute08/cam6.avi#f321-351,0,0.14764638,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute08/cam6.avi#f352-382,1,0.89702579,1,0.968750,FALL,1,"{""implausible_bone"": 2, ""torso_missing"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute08/cam7.avi#f321-351,0,0.07047407,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute08/cam7.avi#f352-382,1,0.08593460,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute08/cam8.avi#f296-326,0,0.13685965,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute08/cam8.avi#f327-357,1,0.09620172,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute09/cam2.avi#f603-633,0,0.76279740,1,0.937500,FALL,0,"{""implausible_bone"": 4, ""target_jump"": 4, ""torso_missing"": 4}"
RTMPose+ST-GCN++,dataset/dataset/chute09/cam2.avi#f634-664,1,0.08705970,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute09/cam2.avi#f665-695,0,0.99257116,1,0.484375,UNKNOWN,0,"{""implausible_bone"": 6, ""target_jump"": 27, ""torso_missing"": 33}"
RTMPose+ST-GCN++,dataset/dataset/chute09/cam4.avi#f612-642,0,0.99999362,1,0.125000,UNKNOWN,0,"{""implausible_bone"": 48, ""target_jump"": 2, ""too_few_joints"": 4, ""torso_missing"": 31}"
RTMPose+ST-GCN++,dataset/dataset/chute09/cam4.avi#f643-673,1,0.99320003,1,0.531250,FALL,1,"{""implausible_bone"": 18, ""target_jump"": 2, ""too_few_joints"": 2, ""torso_missing"": 22}"
RTMPose+ST-GCN++,dataset/dataset/chute09/cam4.avi#f674-704,0,0.93381292,1,0.156250,UNKNOWN,0,"{""implausible_bone"": 40, ""target_jump"": 38, ""too_few_joints"": 2, ""torso_missing"": 19}"
RTMPose+ST-GCN++,dataset/dataset/chute09/cam5.avi#f606-636,0,0.09260216,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute09/cam5.avi#f637-667,1,0.59702899,1,0.968750,FALL,1,"{""implausible_bone"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute09/cam5.avi#f668-698,0,0.98583283,1,0.812500,FALL,0,"{""implausible_bone"": 12}"
RTMPose+ST-GCN++,dataset/dataset/chute09/cam6.avi#f606-636,0,0.94421881,1,0.937500,FALL,0,"{""target_jump"": 2, ""torso_missing"": 4}"
RTMPose+ST-GCN++,dataset/dataset/chute09/cam6.avi#f637-667,1,0.98001447,1,0.937500,FALL,1,"{""torso_missing"": 4}"
RTMPose+ST-GCN++,dataset/dataset/chute09/cam6.avi#f668-698,0,0.73854543,1,1.000000,FALL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute09/cam7.avi#f606-636,0,0.75138853,1,0.968750,FALL,0,"{""implausible_bone"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute09/cam7.avi#f637-667,1,0.94975984,1,0.750000,FALL,1,"{""too_few_joints"": 10, ""torso_missing"": 16}"
RTMPose+ST-GCN++,dataset/dataset/chute09/cam7.avi#f668-698,0,0.94595040,1,0.125000,UNKNOWN,0,"{""implausible_bone"": 5, ""too_few_joints"": 29, ""torso_missing"": 56}"
RTMPose+ST-GCN++,dataset/dataset/chute09/cam8.avi#f594-624,0,0.11403639,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute09/cam8.avi#f625-655,1,0.77612430,1,0.875000,FALL,1,"{""implausible_bone"": 6, ""target_jump"": 4, ""too_few_joints"": 2, ""torso_missing"": 6}"
RTMPose+ST-GCN++,dataset/dataset/chute09/cam8.avi#f656-686,0,0.99468382,1,0.250000,UNKNOWN,0,"{""implausible_bone"": 27, ""target_jump"": 16, ""torso_missing"": 42}"
RTMPose+ST-GCN++,dataset/dataset/chute10/cam2.avi#f499-529,0,0.28170433,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute10/cam2.avi#f520-550,1,0.70751826,1,0.968750,FALL,1,"{""target_jump"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute10/cam2.avi#f551-581,0,0.24535315,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute10/cam4.avi#f518-548,0,0.53573823,1,0.968750,FALL,0,"{""implausible_bone"": 2, ""torso_missing"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute10/cam4.avi#f539-569,1,0.99956608,1,0.546875,FALL,1,"{""implausible_bone"": 15, ""target_jump"": 4, ""torso_missing"": 21}"
RTMPose+ST-GCN++,dataset/dataset/chute10/cam4.avi#f570-600,0,0.95769814,1,0.640625,FALL,0,"{""implausible_bone"": 17, ""target_jump"": 2, ""torso_missing"": 8}"
RTMPose+ST-GCN++,dataset/dataset/chute10/cam5.avi#f497-527,0,0.11455899,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute10/cam5.avi#f518-548,1,0.79661468,1,0.906250,FALL,1,"{""implausible_bone"": 4, ""target_jump"": 4, ""torso_missing"": 6}"
RTMPose+ST-GCN++,dataset/dataset/chute10/cam5.avi#f549-579,0,0.12129838,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute10/cam6.avi#f502-532,0,0.14056347,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute10/cam6.avi#f523-553,1,0.99393313,1,0.875000,FALL,1,"{""torso_missing"": 8}"
RTMPose+ST-GCN++,dataset/dataset/chute10/cam6.avi#f554-584,0,0.91039780,1,0.906250,FALL,0,"{""implausible_bone"": 4, ""torso_missing"": 6}"
RTMPose+ST-GCN++,dataset/dataset/chute10/cam7.avi#f504-534,0,0.10929313,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute10/cam7.avi#f525-555,1,0.15839955,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute10/cam7.avi#f556-586,0,0.18731459,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute10/cam8.avi#f485-515,0,0.11957752,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute10/cam8.avi#f506-536,1,0.15851593,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute10/cam8.avi#f537-567,0,0.16610458,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute11/cam2.avi#f435-465,0,0.17132684,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute11/cam2.avi#f466-496,1,0.45782981,0,0.937500,ADL,0,"{""too_few_joints"": 4, ""torso_missing"": 4}"
