segment_id,video_path,label,class_name,subject,source_kind,start_seconds,end_seconds,duration_seconds,description,source_classes
Subject 1/ADL/09.mp4#t0.000-4.000-walking-1,Subject 1/ADL/09.mp4,0,walking,1,adl,0.000000,4.000000,4.000000, Reading book while walking in the room, Reading[0 to 4]; Walking[0 to 4]
Subject 1/ADL/10.mp4#t0.000-3.000-walking-1,Subject 1/ADL/10.mp4,0,walking,1,adl,0.000000,3.000000,3.000000, Reading book while walking in the room, Reading[0 to 2.5]; Walking[0 to 3]
Subject 1/ADL/11.mp4#t3.000-9.000-sitting-1,Subject 1/ADL/11.mp4,2,sitting,1,adl,3.000000,9.000000,6.000000, Walking to sitting on the chair and then reading book, Reading[5 to 9]; Sitting[3 to 9]; Walking[0 to 2]
Subject 1/ADL/11.mp4#t0.000-2.000-walking-2,Subject 1/ADL/11.mp4,0,walking,1,adl,0.000000,2.000000,2.000000, Walking to sitting on the chair and then reading book, Reading[5 to 9]; Sitting[3 to 9]; Walking[0 to 2]
Subject 1/ADL/12.mp4#t0.000-3.300-sitting-1,Subject 1/ADL/12.mp4,2,sitting,1,adl,0.000000,3.300000,3.300000, Reading book while sitting on the chair to stand up and keeping the book on the chair and going out of the room, Reading[0 to 2.5]; Sitting[0 to 3.3]; Standing[3.3 to 5];Walking[5 to 7]; 
Subject 1/ADL/12.mp4#t3.300-5.000-standing-2,Subject 1/ADL/12.mp4,1,standing,1,adl,3.300000,5.000000,1.700000, Reading book while sitting on the chair to stand up and keeping the book on the chair and going out of the room, Reading[0 to 2.5]; Sitting[0 to 3.3]; Standing[3.3 to 5];Walking[5 to 7]; 
Subject 1/ADL/12.mp4#t5.000-7.000-walking-3,Subject 1/ADL/12.mp4,0,walking,1,adl,5.000000,7.000000,2.000000, Reading book while sitting on the chair to stand up and keeping the book on the chair and going out of the room, Reading[0 to 2.5]; Sitting[0 to 3.3]; Standing[3.3 to 5];Walking[5 to 7]; 
Subject 1/ADL/13.mp4#t3.000-6.000-sitting-1,Subject 1/ADL/13.mp4,2,sitting,1,adl,3.000000,6.000000,3.000000, Walking to sitting on the chair (side view), Sitting[3 to 6]; Walking[0 to 2.5]
Subject 1/ADL/13.mp4#t0.000-2.500-walking-2,Subject 1/ADL/13.mp4,0,walking,1,adl,0.000000,2.500000,2.500000, Walking to sitting on the chair (side view), Sitting[3 to 6]; Walking[0 to 2.5]
Subject 1/ADL/14.mp4#t0.000-1.000-sitting-1,Subject 1/ADL/14.mp4,2,sitting,1,adl,0.000000,1.000000,1.000000, Sitting on the chair (side view) to walking, Sitting[0 to 1]; Standing[4.7 to 5]; Walking[1.6 to 4.7]
Subject 1/ADL/14.mp4#t1.600-4.700-walking-3,Subject 1/ADL/14.mp4,0,walking,1,adl,1.600000,4.700000,3.100000, Sitting on the chair (side view) to walking, Sitting[0 to 1]; Standing[4.7 to 5]; Walking[1.6 to 4.7]
Subject 1/ADL/15.mp4#t4.000-7.000-sitting-1,Subject 1/ADL/15.mp4,2,sitting,1,adl,4.000000,7.000000,3.000000, Walking to picking a mobile phone from the ground and then sitting on the chair,  Sitting[4 to 7]; Walking[0 to 1.5]
Subject 1/ADL/15.mp4#t0.000-1.500-walking-2,Subject 1/ADL/15.mp4,0,walking,1,adl,0.000000,1.500000,1.500000, Walking to picking a mobile phone from the ground and then sitting on the chair,  Sitting[4 to 7]; Walking[0 to 1.5]
Subject 1/ADL/16.mp4#t0.000-3.000-sitting-1,Subject 1/ADL/16.mp4,2,sitting,1,adl,0.000000,3.000000,3.000000, Picking the mobile phone from the ground while sitting on the chair,  Sitting[0 to 3]
Subject 1/Fall/01.mp4#t3.400-6.000-falling-1,Subject 1/Fall/01.mp4,4,falling,1,fall,3.400000,6.000000,2.600000, Falling from sitting on the chair to the ground. Left side Fall. Full body not visible, Falling (SW)[3.4 to 6]; Sitting[0 to 3.4]
Subject 1/Fall/01.mp4#t0.000-3.400-sitting-2,Subject 1/Fall/01.mp4,2,sitting,1,fall,0.000000,3.400000,3.400000, Falling from sitting on the chair to the ground. Left side Fall. Full body not visible, Falling (SW)[3.4 to 6]; Sitting[0 to 3.4]
Subject 1/Fall/02.mp4#t1.900-6.000-falling-1,Subject 1/Fall/02.mp4,4,falling,1,fall,1.900000,6.000000,4.100000, Falling from sitting on the chair to the ground. Left side Fall. Full body not visible, Falling (SW)[1.9 to 6]; Sitting[0 to 1.9]
Subject 1/Fall/02.mp4#t0.000-1.900-sitting-2,Subject 1/Fall/02.mp4,2,sitting,1,fall,0.000000,1.900000,1.900000, Falling from sitting on the chair to the ground. Left side Fall. Full body not visible, Falling (SW)[1.9 to 6]; Sitting[0 to 1.9]
Subject 1/Fall/03.mp4#t2.500-5.000-falling-1,Subject 1/Fall/03.mp4,4,falling,1,fall,2.500000,5.000000,2.500000, Falling from sitting on the chair to the ground. Left side fall, Falling (SW)[2.5 to 5]; Sitting[0 to 2.5]
Subject 1/Fall/03.mp4#t0.000-2.500-sitting-2,Subject 1/Fall/03.mp4,2,sitting,1,fall,0.000000,2.500000,2.500000, Falling from sitting on the chair to the ground. Left side fall, Falling (SW)[2.5 to 5]; Sitting[0 to 2.5]
Subject 1/Fall/04.mp4#t2.300-4.000-falling-1,Subject 1/Fall/04.mp4,4,falling,1,fall,2.300000,4.000000,1.700000, Falling from sitting on the chair to the ground. Right side fall, Falling (SW)[2.3 to 4]; Sitting[0 to 2.2]
Subject 1/Fall/04.mp4#t0.000-2.200-sitting-2,Subject 1/Fall/04.mp4,2,sitting,1,fall,0.000000,2.200000,2.200000, Falling from sitting on the chair to the ground. Right side fall, Falling (SW)[2.3 to 4]; Sitting[0 to 2.2]
Subject 1/Fall/05.mp4#t1.800-5.000-falling-1,Subject 1/Fall/05.mp4,4,falling,1,fall,1.800000,5.000000,3.200000, Walking to falling. Right side fall, Falling (SW)[1.8 to 5]:; Walking[0 to 1.8]
Subject 1/Fall/05.mp4#t0.000-1.800-walking-2,Subject 1/Fall/05.mp4,0,walking,1,fall,0.000000,1.800000,1.800000, Walking to falling. Right side fall, Falling (SW)[1.8 to 5]:; Walking[0 to 1.8]
Subject 1/Fall/06.mp4#t2.200-5.000-falling-1,Subject 1/Fall/06.mp4,4,falling,1,fall,2.200000,5.000000,2.800000, Walking to falling. Right side fall, Falling (SW)[2.2 to 5]; Walking[0 to 2.1]
Subject 1/Fall/06.mp4#t0.000-2.100-walking-2,Subject 1/Fall/06.mp4,0,walking,1,fall,0.000000,2.100000,2.100000, Walking to falling. Right side fall, Falling (SW)[2.2 to 5]; Walking[0 to 2.1]
Subject 1/Fall/07.mp4#t1.100-5.000-falling-1,Subject 1/Fall/07.mp4,4,falling,1,fall,1.100000,5.000000,3.900000, Walking to falling. Right side fall, Falling (SW)[1.1 to 5]; Walking[0 to 1]
Subject 1/Fall/07.mp4#t0.000-1.000-walking-2,Subject 1/Fall/07.mp4,0,walking,1,fall,0.000000,1.000000,1.000000, Walking to falling. Right side fall, Falling (SW)[1.1 to 5]; Walking[0 to 1]
Subject 1/Fall/08.mp4#t0.800-4.000-falling-1,Subject 1/Fall/08.mp4,4,falling,1,fall,0.800000,4.000000,3.200000, Walking to falling. Left side fall, Falling (FW)[0.8 to 4]; Walking[0 to 0.8]
Subject 1/Fall/08.mp4#t0.000-0.800-walking-2,Subject 1/Fall/08.mp4,0,walking,1,fall,0.000000,0.800000,0.800000, Walking to falling. Left side fall, Falling (FW)[0.8 to 4]; Walking[0 to 0.8]
Subject 1/Fall/09.mp4#t0.700-4.000-falling-1,Subject 1/Fall/09.mp4,4,falling,1,fall,0.700000,4.000000,3.300000, Standing position to falling. Forward Fall. Full body (head) not visible, Falling (FW)[0.7 to 4]; Standing[0 to 0.6]
Subject 1/Fall/09.mp4#t0.000-0.600-standing-2,Subject 1/Fall/09.mp4,1,standing,1,fall,0.000000,0.600000,0.600000, Standing position to falling. Forward Fall. Full body (head) not visible, Falling (FW)[0.7 to 4]; Standing[0 to 0.6]
Subject 1/Fall/10.mp4#t0.700-4.000-falling-1,Subject 1/Fall/10.mp4,4,falling,1,fall,0.700000,4.000000,3.300000, Standing position to falling. Forward Fall. Full body (right eye) not visible, Falling (FW)[0.7 to 4]; Standing[0 to 0.7]
Subject 1/Fall/10.mp4#t0.000-0.700-standing-2,Subject 1/Fall/10.mp4,1,standing,1,fall,0.000000,0.700000,0.700000, Standing position to falling. Forward Fall. Full body (right eye) not visible, Falling (FW)[0.7 to 4]; Standing[0 to 0.7]
Subject 1/Fall/11.mp4#t1.000-6.000-falling-1,Subject 1/Fall/11.mp4,4,falling,1,fall,1.000000,6.000000,5.000000, Standing position to falling, Falling (BW)[1 to 6]; Standing[0 to 1]
Subject 1/Fall/11.mp4#t0.000-1.000-standing-2,Subject 1/Fall/11.mp4,1,standing,1,fall,0.000000,1.000000,1.000000, Standing position to falling, Falling (BW)[1 to 6]; Standing[0 to 1]
Subject 1/Fall/12.mp4#t1.900-6.000-falling-1,Subject 1/Fall/12.mp4,4,falling,1,fall,1.900000,6.000000,4.100000, Standing position to falling. Backward Fall, Falling (BW)[1.9 to 6]; Standing[0 to 1.8]
Subject 1/Fall/12.mp4#t0.000-1.800-standing-2,Subject 1/Fall/12.mp4,1,standing,1,fall,0.000000,1.800000,1.800000, Standing position to falling. Backward Fall, Falling (BW)[1.9 to 6]; Standing[0 to 1.8]
Subject 1/Fall/13.mp4#t0.400-4.000-falling-1,Subject 1/Fall/13.mp4,4,falling,1,fall,0.400000,4.000000,3.600000, Standing position to falling. Backward fall. Full body (head) is not visible, Falling (BW)[0.4 to 4]; Standing[0 to 0.3]
Subject 1/Fall/14.mp4#t0.300-5.000-falling-1,Subject 1/Fall/14.mp4,4,falling,1,fall,0.300000,5.000000,4.700000, Standing position to falling. Backward fall. Full body (both ankles) is not visible, Falling (BW) [0.3 to 5]; Standing [0 to 0.2]
Subject 1/Fall/15.mp4#t1.800-6.000-falling-1,Subject 1/Fall/15.mp4,4,falling,1,fall,1.800000,6.000000,4.200000, Sitting on the chair (side view) to right side fall, Falling (SW) [1.8 to 6] ; Sitting [0 to 2]
Subject 1/Fall/15.mp4#t0.000-2.000-sitting-2,Subject 1/Fall/15.mp4,2,sitting,1,fall,0.000000,2.000000,2.000000, Sitting on the chair (side view) to right side fall, Falling (SW) [1.8 to 6] ; Sitting [0 to 2]
Subject 1/Fall/16.mp4#t2.800-6.000-falling-1,Subject 1/Fall/16.mp4,4,falling,1,fall,2.800000,6.000000,3.200000, Sitting on the chair (side view) to the left side fall, Falling (SW) [ 2.8 to 6]; Sitting [0 to 2.9]
Subject 1/Fall/16.mp4#t0.000-2.900-sitting-2,Subject 1/Fall/16.mp4,2,sitting,1,fall,0.000000,2.900000,2.900000, Sitting on the chair (side view) to the left side fall, Falling (SW) [ 2.8 to 6]; Sitting [0 to 2.9]
Subject 2/ADL/01.mp4#t0.000-7.000-sitting-1,Subject 2/ADL/01.mp4,2,sitting,2,adl,0.000000,7.000000,7.000000,Talking on the mobile phone while sitting on the bed and walking, Sitting [0 to 7]; Standing [7.3 to 8.1]; Walking[8.1 to 11]
Subject 2/ADL/01.mp4#t7.300-8.100-standing-2,Subject 2/ADL/01.mp4,1,standing,2,adl,7.300000,8.100000,0.800000,Talking on the mobile phone while sitting on the bed and walking, Sitting [0 to 7]; Standing [7.3 to 8.1]; Walking[8.1 to 11]
Subject 2/ADL/01.mp4#t8.100-11.000-walking-3,Subject 2/ADL/01.mp4,0,walking,2,adl,8.100000,11.000000,2.900000,Talking on the mobile phone while sitting on the bed and walking, Sitting [0 to 7]; Standing [7.3 to 8.1]; Walking[8.1 to 11]
Subject 2/ADL/02.mp4#t0.000-11.000-sitting-1,Subject 2/ADL/02.mp4,2,sitting,2,adl,0.000000,11.000000,11.000000,Picking up a water bottle from the ground and drinking while sitting on the bed, Drinking[10.5 to 11]; Sitting [0 to 11];
Subject 2/ADL/03.mp4#t5.600-7.400-sitting-1,Subject 2/ADL/03.mp4,2,sitting,2,adl,5.600000,7.400000,1.800000,Walking; removing dust from the bed using a pillow; and sleeping on the bed, Sitting[5.6 to 7.4]; Sleeping[8 to 11]; Walking[0 to 4.6]
Subject 2/ADL/03.mp4#t8.000-11.000-lying_sleeping-2,Subject 2/ADL/03.mp4,3,lying_sleeping,2,adl,8.000000,11.000000,3.000000,Walking; removing dust from the bed using a pillow; and sleeping on the bed, Sitting[5.6 to 7.4]; Sleeping[8 to 11]; Walking[0 to 4.6]
Subject 2/ADL/03.mp4#t0.000-4.600-walking-3,Subject 2/ADL/03.mp4,0,walking,2,adl,0.000000,4.600000,4.600000,Walking; removing dust from the bed using a pillow; and sleeping on the bed, Sitting[5.6 to 7.4]; Sleeping[8 to 11]; Walking[0 to 4.6]
Subject 2/ADL/04.mp4#t0.000-7.000-standing-1,Subject 2/ADL/04.mp4,1,standing,2,adl,0.000000,7.000000,7.000000,Yoga: Standing forward bend (Uttanasana), Exercising[0 to 7]; Standing[0 to 7]
Subject 2/ADL/05.mp4#t0.000-2.800-sitting-1,Subject 2/ADL/05.mp4,2,sitting,2,adl,0.000000,2.800000,2.800000,Throwing a book on the bed; standing up from the ground; walking; and opening the curtain, Sitting[0 to 2.8]; Standing[3.1 to 4.1]; Walking[4.1 to 10]
Subject 2/ADL/05.mp4#t3.100-4.100-standing-2,Subject 2/ADL/05.mp4,1,standing,2,adl,3.100000,4.100000,1.000000,Throwing a book on the bed; standing up from the ground; walking; and opening the curtain, Sitting[0 to 2.8]; Standing[3.1 to 4.1]; Walking[4.1 to 10]
Subject 2/ADL/05.mp4#t4.100-10.000-walking-3,Subject 2/ADL/05.mp4,0,walking,2,adl,4.100000,10.000000,5.900000,Throwing a book on the bed; standing up from the ground; walking; and opening the curtain, Sitting[0 to 2.8]; Standing[3.1 to 4.1]; Walking[4.1 to 10]
Subject 2/ADL/06.mp4#t3.000-9.700-sitting-1,Subject 2/ADL/06.mp4,2,sitting,2,adl,3.000000,9.700000,6.700000,Picking up the mobile phone from the ground; placing it on the bed; and sitting on the bed, Sitting[9.7 to 3]; Standing[0 to 0.5; 4.2 to 6.5]; Walking[0.5 to 1.8; 6 to 8.7]
Subject 2/ADL/06.mp4#t0.000-0.500-standing-2,Subject 2/ADL/06.mp4,1,standing,2,adl,0.000000,0.500000,0.500000,Picking up the mobile phone from the ground; placing it on the bed; and sitting on the bed, Sitting[9.7 to 3]; Standing[0 to 0.5; 4.2 to 6.5]; Walking[0.5 to 1.8; 6 to 8.7]
Subject 2/ADL/06.mp4#t4.200-6.500-standing-3,Subject 2/ADL/06.mp4,1,standing,2,adl,4.200000,6.500000,2.300000,Picking up the mobile phone from the ground; placing it on the bed; and sitting on the bed, Sitting[9.7 to 3]; Standing[0 to 0.5; 4.2 to 6.5]; Walking[0.5 to 1.8; 6 to 8.7]
Subject 2/ADL/06.mp4#t0.500-1.800-walking-4,Subject 2/ADL/06.mp4,0,walking,2,adl,0.500000,1.800000,1.300000,Picking up the mobile phone from the ground; placing it on the bed; and sitting on the bed, Sitting[9.7 to 3]; Standing[0 to 0.5; 4.2 to 6.5]; Walking[0.5 to 1.8; 6 to 8.7]
Subject 2/ADL/06.mp4#t6.000-8.700-walking-5,Subject 2/ADL/06.mp4,0,walking,2,adl,6.000000,8.700000,2.700000,Picking up the mobile phone from the ground; placing it on the bed; and sitting on the bed, Sitting[9.7 to 3]; Standing[0 to 0.5; 4.2 to 6.5]; Walking[0.5 to 1.8; 6 to 8.7]
Subject 2/ADL/07.mp4#t0.000-13.000-standing-1,Subject 2/ADL/07.mp4,1,standing,2,adl,0.000000,13.000000,13.000000,Exercising (Moving both hands up and down), Exercising[0 to 13]; Standing[0 to 13]
Subject 2/ADL/08.mp4#t4.500-6.200-standing-1,Subject 2/ADL/08.mp4,1,standing,2,adl,4.500000,6.200000,1.700000,Exercising (Stretching thigh and trying to touch the ground:Pyramid Pose), Exercising[0 to 13]; Standing[4.5 to 6.2; 10 to 13]
Subject 2/ADL/08.mp4#t10.000-13.000-standing-2,Subject 2/ADL/08.mp4,1,standing,2,adl,10.000000,13.000000,3.000000,Exercising (Stretching thigh and trying to touch the ground:Pyramid Pose), Exercising[0 to 13]; Standing[4.5 to 6.2; 10 to 13]
Subject 2/ADL/09.mp4#t0.000-0.500-sitting-1,Subject 2/ADL/09.mp4,2,sitting,2,adl,0.000000,0.500000,0.500000,Standing up from a sitting position on the bed and then sitting on the ground, Sitting[0 to 0.5; 3.7 to 10]; Standing[0.5 to 1.3]; Walking[0.5 to 3.1]
Subject 2/ADL/09.mp4#t3.700-10.000-sitting-2,Subject 2/ADL/09.mp4,2,sitting,2,adl,3.700000,10.000000,6.300000,Standing up from a sitting position on the bed and then sitting on the ground, Sitting[0 to 0.5; 3.7 to 10]; Standing[0.5 to 1.3]; Walking[0.5 to 3.1]
Subject 2/ADL/09.mp4#t0.500-1.300-standing-3,Subject 2/ADL/09.mp4,1,standing,2,adl,0.500000,1.300000,0.800000,Standing up from a sitting position on the bed and then sitting on the ground, Sitting[0 to 0.5; 3.7 to 10]; Standing[0.5 to 1.3]; Walking[0.5 to 3.1]
Subject 2/ADL/09.mp4#t0.500-3.100-walking-4,Subject 2/ADL/09.mp4,0,walking,2,adl,0.500000,3.100000,2.600000,Standing up from a sitting position on the bed and then sitting on the ground, Sitting[0 to 0.5; 3.7 to 10]; Standing[0.5 to 1.3]; Walking[0.5 to 3.1]
Subject 2/ADL/10.mp4#t0.100-2.100-standing-1,Subject 2/ADL/10.mp4,1,standing,2,adl,0.100000,2.100000,2.000000,Standing up from the ground and closing the curtain, Standing[0.1 to 2.1]; Walking[2.1 to 5]
Subject 2/ADL/10.mp4#t2.100-5.000-walking-2,Subject 2/ADL/10.mp4,0,walking,2,adl,2.100000,5.000000,2.900000,Standing up from the ground and closing the curtain, Standing[0.1 to 2.1]; Walking[2.1 to 5]
Subject 2/ADL/11.mp4#t0.000-4.700-standing-1,Subject 2/ADL/11.mp4,1,standing,2,adl,0.000000,4.700000,4.700000,Removing the shirt and hanging it on the hanger, Standing[0 to 4.7]; Walking[5 to 6.5; 8 to 10]
Subject 2/ADL/11.mp4#t5.000-6.500-walking-2,Subject 2/ADL/11.mp4,0,walking,2,adl,5.000000,6.500000,1.500000,Removing the shirt and hanging it on the hanger, Standing[0 to 4.7]; Walking[5 to 6.5; 8 to 10]
Subject 2/ADL/11.mp4#t8.000-10.000-walking-3,Subject 2/ADL/11.mp4,0,walking,2,adl,8.000000,10.000000,2.000000,Removing the shirt and hanging it on the hanger, Standing[0 to 4.7]; Walking[5 to 6.5; 8 to 10]
Subject 2/ADL/12.mp4#t3.000-7.000-lying_sleeping-1,Subject 2/ADL/12.mp4,3,lying_sleeping,2,adl,3.000000,7.000000,4.000000,Going to bed and sleeping (belly facing downwards), Sleeping[3 to 7]; Standing[0 to 0.1]
Subject 2/ADL/13.mp4#t1.000-4.000-sitting-1,Subject 2/ADL/13.mp4,2,sitting,2,adl,1.000000,4.000000,3.000000,Sitting on the ground and reading a book, Reading[1 to 4]; Sitting[1 to 4]; Standing[0 to 0.5]
Subject 2/ADL/13.mp4#t0.000-0.500-standing-2,Subject 2/ADL/13.mp4,1,standing,2,adl,0.000000,0.500000,0.500000,Sitting on the ground and reading a book, Reading[1 to 4]; Sitting[1 to 4]; Standing[0 to 0.5]
Subject 2/ADL/14.mp4#t4.600-11.000-sitting-1,Subject 2/ADL/14.mp4,2,sitting,2,adl,4.600000,11.000000,6.400000,Walking and reading something while sitting on the bed, Reading[8.6 to 11]; Sitting[4.6 to 11]; Walking[0 to 3.6]
Subject 2/ADL/14.mp4#t0.000-3.600-walking-2,Subject 2/ADL/14.mp4,0,walking,2,adl,0.000000,3.600000,3.600000,Walking and reading something while sitting on the bed, Reading[8.6 to 11]; Sitting[4.6 to 11]; Walking[0 to 3.6]
Subject 2/ADL/15.mp4#t0.000-11.000-sitting-1,Subject 2/ADL/15.mp4,2,sitting,2,adl,0.000000,11.000000,11.000000,Reading a newspaper while sitting on the bed and placing a pillow on the lap, Reading[6.5 to 11]; Sitting[0 to 11]
Subject 2/ADL/16.mp4#t9.000-11.000-lying_sleeping-1,Subject 2/ADL/16.mp4,3,lying_sleeping,2,adl,9.000000,11.000000,2.000000,Reading a newspaper; throwing the newspaper; and sleeping, Reading[0 to 5.8]; Sleeping[9 to 11]
Subject 2/ADL/17.mp4#t3.500-4.000-standing-1,Subject 2/ADL/17.mp4,1,standing,2,adl,3.500000,4.000000,0.500000,Standing up from bed; walking; and checking the dress on the hanger, Standing[3.5 to 4; 6.8 to 10]; Walking[4.1 to 6.8]
Subject 2/ADL/17.mp4#t6.800-10.000-standing-2,Subject 2/ADL/17.mp4,1,standing,2,adl,6.800000,10.000000,3.200000,Standing up from bed; walking; and checking the dress on the hanger, Standing[3.5 to 4; 6.8 to 10]; Walking[4.1 to 6.8]
Subject 2/ADL/17.mp4#t4.100-6.800-walking-3,Subject 2/ADL/17.mp4,0,walking,2,adl,4.100000,6.800000,2.700000,Standing up from bed; walking; and checking the dress on the hanger, Standing[3.5 to 4; 6.8 to 10]; Walking[4.1 to 6.8]
Subject 2/ADL/18.mp4#t2.000-11.000-standing-1,Subject 2/ADL/18.mp4,1,standing,2,adl,2.000000,11.000000,9.000000,Walking; opening the window; and looking outside, Standing[2 to 11]; Walking[0 to 2]
Subject 2/ADL/18.mp4#t0.000-2.000-walking-2,Subject 2/ADL/18.mp4,0,walking,2,adl,0.000000,2.000000,2.000000,Walking; opening the window; and looking outside, Standing[2 to 11]; Walking[0 to 2]
Subject 2/ADL/19.mp4#t1.000-11.000-sitting-1,Subject 2/ADL/19.mp4,2,sitting,2,adl,1.000000,11.000000,10.000000,Sitting on the ground and writing in a notebook,Sitting[1 to 11]; Walking[0 to 0.6]; Writing[5 to 11]
Subject 2/ADL/19.mp4#t0.000-0.600-walking-2,Subject 2/ADL/19.mp4,0,walking,2,adl,0.000000,0.600000,0.600000,Sitting on the ground and writing in a notebook,Sitting[1 to 11]; Walking[0 to 0.6]; Writing[5 to 11]
Subject 2/ADL/20.mp4#t3.700-11.000-sitting-1,Subject 2/ADL/20.mp4,2,sitting,2,adl,3.700000,11.000000,7.300000,Standing up; picking up a water bottle; and drinking water while sitting on the ground, Drinking[7.4 to 9.4]; Sitting[3.7 to 11]; Standing[0 to 3.2]
Subject 2/ADL/20.mp4#t0.000-3.200-standing-2,Subject 2/ADL/20.mp4,1,standing,2,adl,0.000000,3.200000,3.200000,Standing up; picking up a water bottle; and drinking water while sitting on the ground, Drinking[7.4 to 9.4]; Sitting[3.7 to 11]; Standing[0 to 3.2]
Subject 2/ADL/21.mp4#t0.000-6.600-standing-1,Subject 2/ADL/21.mp4,1,standing,2,adl,0.000000,6.600000,6.600000,Picking up a pen from the ground and walking, Standing[0 to 6.6]; Walking[6.6 to 10]
Subject 2/ADL/21.mp4#t6.600-10.000-walking-2,Subject 2/ADL/21.mp4,0,walking,2,adl,6.600000,10.000000,3.400000,Picking up a pen from the ground and walking, Standing[0 to 6.6]; Walking[6.6 to 10]
Subject 2/ADL/22.mp4#t9.500-10.500-sitting-1,Subject 2/ADL/22.mp4,2,sitting,2,adl,9.500000,10.500000,1.000000,Exercising (Push-up) and sitting, Exercising[1.9 to 8.3]; Sitting[9.5 to 10.5]
Subject 2/ADL/23.mp4#t0.000-7.000-sitting-1,Subject 2/ADL/23.mp4,2,sitting,2,adl,0.000000,7.000000,7.000000,Eating biscuits while sitting on the bed with legs folded, Eating[4.2 to 5.2]; Sitting[0 to 7]
Subject 2/Fall/01.mp4#t1.400-6.000-falling-1,Subject 2/Fall/01.mp4,4,falling,2,fall,1.400000,6.000000,4.600000,Right side fall on the ground, Falling (SW)[1.4 to 6]; Standing[0.4 to 1.2]
Subject 2/Fall/01.mp4#t0.400-1.200-standing-2,Subject 2/Fall/01.mp4,1,standing,2,fall,0.400000,1.200000,0.800000,Right side fall on the ground, Falling (SW)[1.4 to 6]; Standing[0.4 to 1.2]
Subject 2/Fall/02.mp4#t2.700-8.000-falling-1,Subject 2/Fall/02.mp4,4,falling,2,fall,2.700000,8.000000,5.300000,Right side fall on the ground after walking, Falling (SW)[2.7 to 8]; Walking[0 to 2.6]
