path,source_path,subject,target_fold,source_oof_fold,oof_fall_probability,repeat
Subject 1/ADL/01.mp4#f48-111#hardneg-f2-r1,Subject 1/ADL/01.mp4#f48-111,1,2,1,0.96686816,1
Subject 1/ADL/01.mp4#f48-111#hardneg-f2-r2,Subject 1/ADL/01.mp4#f48-111,1,2,1,0.96686816,2
Subject 1/ADL/01.mp4#f64-127#hardneg-f2-r1,Subject 1/ADL/01.mp4#f64-127,1,2,1,0.98575938,1
Subject 1/ADL/01.mp4#f64-127#hardneg-f2-r2,Subject 1/ADL/01.mp4#f64-127,1,2,1,0.98575938,2
Subject 1/ADL/01.mp4#f80-143#hardneg-f2-r1,Subject 1/ADL/01.mp4#f80-143,1,2,1,0.99634689,1
Subject 1/ADL/01.mp4#f80-143#hardneg-f2-r2,Subject 1/ADL/01.mp4#f80-143,1,2,1,0.99634689,2
Subject 1/ADL/01.mp4#f96-159#hardneg-f2-r1,Subject 1/ADL/01.mp4#f96-159,1,2,1,0.99854916,1
Subject 1/ADL/01.mp4#f96-159#hardneg-f2-r2,Subject 1/ADL/01.mp4#f96-159,1,2,1,0.99854916,2
Subject 1/ADL/02.mp4#f112-175#hardneg-f2-r1,Subject 1/ADL/02.mp4#f112-175,1,2,1,0.93698800,1
Subject 1/ADL/02.mp4#f112-175#hardneg-f2-r2,Subject 1/ADL/02.mp4#f112-175,1,2,1,0.93698800,2
Subject 1/ADL/02.mp4#f128-191#hardneg-f2-r1,Subject 1/ADL/02.mp4#f128-191,1,2,1,0.93734944,1
Subject 1/ADL/02.mp4#f128-191#hardneg-f2-r2,Subject 1/ADL/02.mp4#f128-191,1,2,1,0.93734944,2
Subject 1/ADL/02.mp4#f48-111#hardneg-f2-r1,Subject 1/ADL/02.mp4#f48-111,1,2,1,0.94067591,1
Subject 1/ADL/02.mp4#f48-111#hardneg-f2-r2,Subject 1/ADL/02.mp4#f48-111,1,2,1,0.94067591,2
Subject 1/ADL/02.mp4#f64-127#hardneg-f2-r1,Subject 1/ADL/02.mp4#f64-127,1,2,1,0.97317296,1
Subject 1/ADL/02.mp4#f64-127#hardneg-f2-r2,Subject 1/ADL/02.mp4#f64-127,1,2,1,0.97317296,2
Subject 1/ADL/02.mp4#f80-143#hardneg-f2-r1,Subject 1/ADL/02.mp4#f80-143,1,2,1,0.94877064,1
Subject 1/ADL/02.mp4#f80-143#hardneg-f2-r2,Subject 1/ADL/02.mp4#f80-143,1,2,1,0.94877064,2
Subject 1/ADL/02.mp4#f96-159#hardneg-f2-r1,Subject 1/ADL/02.mp4#f96-159,1,2,1,0.91984761,1
Subject 1/ADL/02.mp4#f96-159#hardneg-f2-r2,Subject 1/ADL/02.mp4#f96-159,1,2,1,0.91984761,2
Subject 4/ADL/05.mp4#f112-175#hardneg-f2-r1,Subject 4/ADL/05.mp4#f112-175,4,2,4,0.98966283,1
Subject 4/ADL/05.mp4#f112-175#hardneg-f2-r2,Subject 4/ADL/05.mp4#f112-175,4,2,4,0.98966283,2
Subject 4/ADL/05.mp4#f128-191#hardneg-f2-r1,Subject 4/ADL/05.mp4#f128-191,4,2,4,0.98684871,1
Subject 4/ADL/05.mp4#f128-191#hardneg-f2-r2,Subject 4/ADL/05.mp4#f128-191,4,2,4,0.98684871,2
Subject 4/ADL/05.mp4#f144-207#hardneg-f2-r1,Subject 4/ADL/05.mp4#f144-207,4,2,4,0.97668004,1
Subject 4/ADL/05.mp4#f144-207#hardneg-f2-r2,Subject 4/ADL/05.mp4#f144-207,4,2,4,0.97668004,2
Subject 4/ADL/05.mp4#f80-143#hardneg-f2-r1,Subject 4/ADL/05.mp4#f80-143,4,2,4,0.97121274,1
Subject 4/ADL/05.mp4#f80-143#hardneg-f2-r2,Subject 4/ADL/05.mp4#f80-143,4,2,4,0.97121274,2
Subject 4/ADL/05.mp4#f96-159#hardneg-f2-r1,Subject 4/ADL/05.mp4#f96-159,4,2,4,0.98498017,1
Subject 4/ADL/05.mp4#f96-159#hardneg-f2-r2,Subject 4/ADL/05.mp4#f96-159,4,2,4,0.98498017,2
Subject 4/ADL/06.mp4#f112-175#hardneg-f2-r1,Subject 4/ADL/06.mp4#f112-175,4,2,4,0.95001417,1
Subject 4/ADL/06.mp4#f112-175#hardneg-f2-r2,Subject 4/ADL/06.mp4#f112-175,4,2,4,0.95001417,2
Subject 4/ADL/06.mp4#f96-159#hardneg-f2-r1,Subject 4/ADL/06.mp4#f96-159,4,2,4,0.96494162,1
Subject 4/ADL/06.mp4#f96-159#hardneg-f2-r2,Subject 4/ADL/06.mp4#f96-159,4,2,4,0.96494162,2
Subject 4/ADL/07.mp4#f0-63#hardneg-f2-r1,Subject 4/ADL/07.mp4#f0-63,4,2,4,0.99004257,1
Subject 4/ADL/07.mp4#f0-63#hardneg-f2-r2,Subject 4/ADL/07.mp4#f0-63,4,2,4,0.99004257,2
Subject 4/ADL/07.mp4#f16-79#hardneg-f2-r1,Subject 4/ADL/07.mp4#f16-79,4,2,4,0.99092484,1
Subject 4/ADL/07.mp4#f16-79#hardneg-f2-r2,Subject 4/ADL/07.mp4#f16-79,4,2,4,0.99092484,2
Subject 4/ADL/07.mp4#f32-95#hardneg-f2-r1,Subject 4/ADL/07.mp4#f32-95,4,2,4,0.99236113,1
Subject 4/ADL/07.mp4#f32-95#hardneg-f2-r2,Subject 4/ADL/07.mp4#f32-95,4,2,4,0.99236113,2
Subject 4/ADL/07.mp4#f48-111#hardneg-f2-r1,Subject 4/ADL/07.mp4#f48-111,4,2,4,0.96926951,1
Subject 4/ADL/07.mp4#f48-111#hardneg-f2-r2,Subject 4/ADL/07.mp4#f48-111,4,2,4,0.96926951,2
Subject 4/ADL/07.mp4#f64-127#hardneg-f2-r1,Subject 4/ADL/07.mp4#f64-127,4,2,4,0.99446142,1
Subject 4/ADL/07.mp4#f64-127#hardneg-f2-r2,Subject 4/ADL/07.mp4#f64-127,4,2,4,0.99446142,2
Subject 4/ADL/07.mp4#f80-143#hardneg-f2-r1,Subject 4/ADL/07.mp4#f80-143,4,2,4,0.99237704,1
Subject 4/ADL/07.mp4#f80-143#hardneg-f2-r2,Subject 4/ADL/07.mp4#f80-143,4,2,4,0.99237704,2
Subject 4/ADL/10.mp4#f128-191#hardneg-f2-r1,Subject 4/ADL/10.mp4#f128-191,4,2,4,0.93707591,1
Subject 4/ADL/10.mp4#f128-191#hardneg-f2-r2,Subject 4/ADL/10.mp4#f128-191,4,2,4,0.93707591,2
Subject 4/ADL/10.mp4#f144-207#hardneg-f2-r1,Subject 4/ADL/10.mp4#f144-207,4,2,4,0.99084795,1
Subject 4/ADL/10.mp4#f144-207#hardneg-f2-r2,Subject 4/ADL/10.mp4#f144-207,4,2,4,0.99084795,2
Subject 4/ADL/10.mp4#f160-223#hardneg-f2-r1,Subject 4/ADL/10.mp4#f160-223,4,2,4,0.98846674,1
Subject 4/ADL/10.mp4#f160-223#hardneg-f2-r2,Subject 4/ADL/10.mp4#f160-223,4,2,4,0.98846674,2
Subject 4/ADL/10.mp4#f176-239#hardneg-f2-r1,Subject 4/ADL/10.mp4#f176-239,4,2,4,0.98875743,1
Subject 4/ADL/10.mp4#f176-239#hardneg-f2-r2,Subject 4/ADL/10.mp4#f176-239,4,2,4,0.98875743,2
Subject 4/ADL/10.mp4#f192-255#hardneg-f2-r1,Subject 4/ADL/10.mp4#f192-255,4,2,4,0.99323869,1
Subject 4/ADL/10.mp4#f192-255#hardneg-f2-r2,Subject 4/ADL/10.mp4#f192-255,4,2,4,0.99323869,2
Subject 4/ADL/10.mp4#f208-271#hardneg-f2-r1,Subject 4/ADL/10.mp4#f208-271,4,2,4,0.99193782,1
Subject 4/ADL/10.mp4#f208-271#hardneg-f2-r2,Subject 4/ADL/10.mp4#f208-271,4,2,4,0.99193782,2
Subject 4/ADL/10.mp4#f224-287#hardneg-f2-r1,Subject 4/ADL/10.mp4#f224-287,4,2,4,0.98925287,1
Subject 4/ADL/10.mp4#f224-287#hardneg-f2-r2,Subject 4/ADL/10.mp4#f224-287,4,2,4,0.98925287,2
Subject 4/ADL/10.mp4#f240-303#hardneg-f2-r1,Subject 4/ADL/10.mp4#f240-303,4,2,4,0.99246198,1
Subject 4/ADL/10.mp4#f240-303#hardneg-f2-r2,Subject 4/ADL/10.mp4#f240-303,4,2,4,0.99246198,2
Subject 4/ADL/10.mp4#f256-319#hardneg-f2-r1,Subject 4/ADL/10.mp4#f256-319,4,2,4,0.99206042,1
Subject 4/ADL/10.mp4#f256-319#hardneg-f2-r2,Subject 4/ADL/10.mp4#f256-319,4,2,4,0.99206042,2
Subject 4/ADL/10.mp4#f272-335#hardneg-f2-r1,Subject 4/ADL/10.mp4#f272-335,4,2,4,0.99254555,1
Subject 4/ADL/10.mp4#f272-335#hardneg-f2-r2,Subject 4/ADL/10.mp4#f272-335,4,2,4,0.99254555,2
Subject 4/ADL/10.mp4#f288-351#hardneg-f2-r1,Subject 4/ADL/10.mp4#f288-351,4,2,4,0.99459696,1
Subject 4/ADL/10.mp4#f288-351#hardneg-f2-r2,Subject 4/ADL/10.mp4#f288-351,4,2,4,0.99459696,2
Subject 4/ADL/10.mp4#f304-367#hardneg-f2-r1,Subject 4/ADL/10.mp4#f304-367,4,2,4,0.99531341,1
Subject 4/ADL/10.mp4#f304-367#hardneg-f2-r2,Subject 4/ADL/10.mp4#f304-367,4,2,4,0.99531341,2
Subject 4/ADL/15.mp4#f48-111#hardneg-f2-r1,Subject 4/ADL/15.mp4#f48-111,4,2,4,0.85030150,1
Subject 4/ADL/15.mp4#f48-111#hardneg-f2-r2,Subject 4/ADL/15.mp4#f48-111,4,2,4,0.85030150,2
Subject 4/ADL/15.mp4#f64-127#hardneg-f2-r1,Subject 4/ADL/15.mp4#f64-127,4,2,4,0.93147111,1
Subject 4/ADL/15.mp4#f64-127#hardneg-f2-r2,Subject 4/ADL/15.mp4#f64-127,4,2,4,0.93147111,2
Subject 4/ADL/15.mp4#f80-143#hardneg-f2-r1,Subject 4/ADL/15.mp4#f80-143,4,2,4,0.95909506,1
Subject 4/ADL/15.mp4#f80-143#hardneg-f2-r2,Subject 4/ADL/15.mp4#f80-143,4,2,4,0.95909506,2
Subject 4/ADL/16.mp4#f112-175#hardneg-f2-r1,Subject 4/ADL/16.mp4#f112-175,4,2,4,0.95635808,1
Subject 4/ADL/16.mp4#f112-175#hardneg-f2-r2,Subject 4/ADL/16.mp4#f112-175,4,2,4,0.95635808,2
Subject 4/ADL/16.mp4#f128-191#hardneg-f2-r1,Subject 4/ADL/16.mp4#f128-191,4,2,4,0.97049093,1
Subject 4/ADL/16.mp4#f128-191#hardneg-f2-r2,Subject 4/ADL/16.mp4#f128-191,4,2,4,0.97049093,2
Subject 4/ADL/16.mp4#f144-207#hardneg-f2-r1,Subject 4/ADL/16.mp4#f144-207,4,2,4,0.98329663,1
Subject 4/ADL/16.mp4#f144-207#hardneg-f2-r2,Subject 4/ADL/16.mp4#f144-207,4,2,4,0.98329663,2
Subject 4/ADL/16.mp4#f64-127#hardneg-f2-r1,Subject 4/ADL/16.mp4#f64-127,4,2,4,0.81992280,1
Subject 4/ADL/16.mp4#f64-127#hardneg-f2-r2,Subject 4/ADL/16.mp4#f64-127,4,2,4,0.81992280,2
Subject 4/ADL/16.mp4#f80-143#hardneg-f2-r1,Subject 4/ADL/16.mp4#f80-143,4,2,4,0.96506160,1
Subject 4/ADL/16.mp4#f80-143#hardneg-f2-r2,Subject 4/ADL/16.mp4#f80-143,4,2,4,0.96506160,2
Subject 4/ADL/16.mp4#f96-159#hardneg-f2-r1,Subject 4/ADL/16.mp4#f96-159,4,2,4,0.96561086,1
Subject 4/ADL/16.mp4#f96-159#hardneg-f2-r2,Subject 4/ADL/16.mp4#f96-159,4,2,4,0.96561086,2
Subject 4/Fall/16.mp4#f0-63#hardneg-f2-r1,Subject 4/Fall/16.mp4#f0-63,4,2,4,0.99360943,1
Subject 4/Fall/16.mp4#f0-63#hardneg-f2-r2,Subject 4/Fall/16.mp4#f0-63,4,2,4,0.99360943,2
Subject 4/Fall/16.mp4#f16-79#hardneg-f2-r1,Subject 4/Fall/16.mp4#f16-79,4,2,4,0.97986048,1
Subject 4/Fall/16.mp4#f16-79#hardneg-f2-r2,Subject 4/Fall/16.mp4#f16-79,4,2,4,0.97986048,2
Subject 1/ADL/01.mp4#f112-175#hardneg-f3-r1,Subject 1/ADL/01.mp4#f112-175,1,3,1,0.99658293,1
Subject 1/ADL/01.mp4#f112-175#hardneg-f3-r2,Subject 1/ADL/01.mp4#f112-175,1,3,1,0.99658293,2
Subject 1/ADL/01.mp4#f128-191#hardneg-f3-r1,Subject 1/ADL/01.mp4#f128-191,1,3,1,0.99742138,1
Subject 1/ADL/01.mp4#f128-191#hardneg-f3-r2,Subject 1/ADL/01.mp4#f128-191,1,3,1,0.99742138,2
Subject 1/ADL/01.mp4#f144-207#hardneg-f3-r1,Subject 1/ADL/01.mp4#f144-207,1,3,1,0.99715281,1
Subject 1/ADL/01.mp4#f144-207#hardneg-f3-r2,Subject 1/ADL/01.mp4#f144-207,1,3,1,0.99715281,2
Subject 1/ADL/01.mp4#f160-223#hardneg-f3-r1,Subject 1/ADL/01.mp4#f160-223,1,3,1,0.99752039,1
Subject 1/ADL/01.mp4#f160-223#hardneg-f3-r2,Subject 1/ADL/01.mp4#f160-223,1,3,1,0.99752039,2
Subject 1/ADL/01.mp4#f176-239#hardneg-f3-r1,Subject 1/ADL/01.mp4#f176-239,1,3,1,0.99821705,1
Subject 1/ADL/01.mp4#f176-239#hardneg-f3-r2,Subject 1/ADL/01.mp4#f176-239,1,3,1,0.99821705,2
Subject 1/ADL/01.mp4#f32-95#hardneg-f3-r1,Subject 1/ADL/01.mp4#f32-95,1,3,1,0.91344696,1
Subject 1/ADL/01.mp4#f32-95#hardneg-f3-r2,Subject 1/ADL/01.mp4#f32-95,1,3,1,0.91344696,2
Subject 1/ADL/01.mp4#f48-111#hardneg-f3-r1,Subject 1/ADL/01.mp4#f48-111,1,3,1,0.96686816,1
Subject 1/ADL/01.mp4#f48-111#hardneg-f3-r2,Subject 1/ADL/01.mp4#f48-111,1,3,1,0.96686816,2
Subject 1/ADL/01.mp4#f64-127#hardneg-f3-r1,Subject 1/ADL/01.mp4#f64-127,1,3,1,0.98575938,1
