path,label,subject,dataset,pose_path,backend,frames,zero_pose_frames,mean_confidence,source_frames,track_count,primary_track_id,primary_track_coverage
Subject 1/Fall/05.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__05.npz,yolo_bytetrack,64,1,0.808328,174,2,120,0.994253
Subject 1/Fall/06.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__06.npz,yolo_bytetrack,64,1,0.750018,169,2,125,0.994083
Subject 1/Fall/07.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__07.npz,yolo_bytetrack,64,1,0.829283,153,2,133,0.993464
Subject 1/Fall/08.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__08.npz,yolo_bytetrack,64,1,0.805835,129,1,140,0.984496
Subject 1/Fall/09.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__09.npz,yolo_bytetrack,64,6,0.524662,131,1,144,0.923664
Subject 1/Fall/10.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__10.npz,yolo_bytetrack,64,1,0.729668,133,1,147,0.992481
Subject 1/Fall/11.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__11.npz,yolo_bytetrack,64,1,0.842604,181,1,150,0.994475
Subject 1/Fall/12.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__12.npz,yolo_bytetrack,64,1,0.766711,200,1,151,0.995000
Subject 1/Fall/13.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__13.npz,yolo_bytetrack,64,1,0.750746,128,1,154,0.992188
Subject 1/Fall/14.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__14.npz,yolo_bytetrack,64,0,0.582791,169,1,154,0.994083
Subject 1/Fall/15.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__15.npz,yolo_bytetrack,64,0,0.837394,178,1,154,1.000000
Subject 1/Fall/16.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__16.npz,yolo_bytetrack,64,1,0.825359,181,1,169,0.994475
Subject 2/ADL/01.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__01.npz,yolo_bytetrack,64,1,0.868251,340,2,173,0.997059
Subject 2/ADL/02.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__02.npz,yolo_bytetrack,64,0,0.924907,352,2,173,1.000000
Subject 2/ADL/03.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__03.npz,yolo_bytetrack,64,1,0.802118,356,5,184,0.994382
Subject 2/ADL/04.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__04.npz,yolo_bytetrack,64,1,0.853431,234,2,197,0.995726
Subject 2/ADL/05.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__05.npz,yolo_bytetrack,64,18,0.372183,323,4,230,0.705882
Subject 2/ADL/06.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__06.npz,yolo_bytetrack,64,3,0.837995,321,3,231,0.959502
Subject 2/ADL/07.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__07.npz,yolo_bytetrack,64,0,0.832165,388,4,231,1.000000
Subject 2/ADL/08.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__08.npz,yolo_bytetrack,64,0,0.835907,408,4,231,1.000000
Subject 2/ADL/09.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__09.npz,yolo_bytetrack,64,0,0.905550,327,3,231,1.000000
Subject 2/ADL/10.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__10.npz,yolo_bytetrack,64,0,0.841474,226,3,231,1.000000
Subject 2/ADL/11.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__11.npz,yolo_bytetrack,64,0,0.770250,298,6,231,1.000000
Subject 2/ADL/12.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__12.npz,yolo_bytetrack,64,0,0.666882,227,3,231,0.995595
Subject 2/ADL/13.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__13.npz,yolo_bytetrack,64,1,0.862117,145,1,339,0.993103
Subject 2/ADL/14.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__14.npz,yolo_bytetrack,64,3,0.693084,166,2,344,0.957831
Subject 2/ADL/15.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__15.npz,yolo_bytetrack,64,1,0.820071,179,1,344,0.977654
Subject 2/ADL/16.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__16.npz,yolo_bytetrack,64,2,0.837888,173,1,344,0.982659
Subject 2/ADL/17.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__17.npz,yolo_bytetrack,64,2,0.786993,175,4,344,0.988571
Subject 2/ADL/18.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__18.npz,yolo_bytetrack,64,1,0.749366,175,2,403,0.994286
Subject 2/ADL/19.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__19.npz,yolo_bytetrack,64,5,0.732953,170,2,405,0.947059
Subject 2/ADL/20.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__20.npz,yolo_bytetrack,64,3,0.830205,175,2,405,0.960000
Subject 2/ADL/21.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__21.npz,yolo_bytetrack,64,0,0.786152,158,2,405,1.000000
Subject 2/ADL/22.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__22.npz,yolo_bytetrack,64,34,0.358721,182,4,414,0.483516
Subject 2/ADL/23.mp4,0,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__ADL__23.npz,yolo_bytetrack,64,4,0.856324,109,2,424,0.954128
Subject 2/Fall/01.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__01.npz,yolo_bytetrack,64,3,0.692050,190,1,434,0.942105
Subject 2/Fall/02.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__02.npz,yolo_bytetrack,64,37,0.359417,252,3,437,0.432540
Subject 2/Fall/03.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__03.npz,yolo_bytetrack,64,26,0.390477,210,1,449,0.580952
Subject 2/Fall/04.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__04.npz,yolo_bytetrack,64,38,0.322127,305,4,451,0.400000
Subject 2/Fall/05.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__05.npz,yolo_bytetrack,64,25,0.463478,135,1,460,0.614815
Subject 2/Fall/06.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__06.npz,yolo_bytetrack,64,27,0.450156,194,2,469,0.582474
Subject 2/Fall/07.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__07.npz,yolo_bytetrack,64,9,0.683428,135,1,483,0.888889
Subject 2/Fall/08.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__08.npz,yolo_bytetrack,64,2,0.716516,181,1,489,0.977901
Subject 2/Fall/09.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__09.npz,yolo_bytetrack,64,30,0.386766,167,2,492,0.520958
Subject 2/Fall/10.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__10.npz,yolo_bytetrack,64,49,0.181120,167,1,507,0.245509
Subject 2/Fall/11.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__11.npz,yolo_bytetrack,64,29,0.430545,159,2,536,0.553459
Subject 2/Fall/12.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__12.npz,yolo_bytetrack,64,25,0.506401,184,3,543,0.619565
Subject 2/Fall/13.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__13.npz,yolo_bytetrack,64,34,0.355932,133,3,553,0.466165
Subject 2/Fall/14.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__14.npz,yolo_bytetrack,64,36,0.315318,168,3,577,0.416667
Subject 2/Fall/15.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__15.npz,yolo_bytetrack,64,1,0.794981,348,1,581,0.997126
Subject 2/Fall/16.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__16.npz,yolo_bytetrack,64,1,0.728270,120,1,585,0.991667
Subject 2/Fall/17.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__17.npz,yolo_bytetrack,64,1,0.768504,194,1,586,0.994845
Subject 2/Fall/18.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__18.npz,yolo_bytetrack,64,1,0.742077,345,1,587,0.997101
Subject 2/Fall/19.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__19.npz,yolo_bytetrack,64,1,0.659051,463,1,589,0.997840
Subject 2/Fall/20.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__20.npz,yolo_bytetrack,64,2,0.851983,342,2,591,0.991228
Subject 2/Fall/21.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__21.npz,yolo_bytetrack,64,18,0.545704,283,2,602,0.727915
Subject 2/Fall/22.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__22.npz,yolo_bytetrack,64,1,0.707860,155,1,607,0.993548
Subject 2/Fall/23.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__23.npz,yolo_bytetrack,64,3,0.704350,225,1,608,0.986667
Subject 2/Fall/24.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__24.npz,yolo_bytetrack,64,1,0.874220,213,1,612,0.995305
Subject 2/Fall/25.mp4,1,2,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_2__Fall__25.npz,yolo_bytetrack,64,1,0.773834,218,1,614,0.995413
Subject 3/ADL/01.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__01.npz,yolo_bytetrack,64,1,0.908310,261,3,616,0.996169
Subject 3/ADL/02.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__02.npz,yolo_bytetrack,64,1,0.778537,273,1,627,0.996337
Subject 3/ADL/03.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__03.npz,yolo_bytetrack,64,1,0.844749,296,4,630,0.989865
Subject 3/ADL/04.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__04.npz,yolo_bytetrack,64,1,0.767823,300,4,642,0.990000
Subject 3/ADL/05.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__05.npz,yolo_bytetrack,64,1,0.782274,154,1,645,0.993506
Subject 3/ADL/06.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__06.npz,yolo_bytetrack,64,0,0.820297,267,1,645,1.000000
Subject 3/ADL/07.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__07.npz,yolo_bytetrack,64,1,0.964544,100,1,650,0.990000
Subject 3/ADL/08.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__08.npz,yolo_bytetrack,64,8,0.737840,146,2,652,0.863014
Subject 3/ADL/09.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__09.npz,yolo_bytetrack,64,3,0.870449,232,1,652,0.939655
Subject 3/ADL/10.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__10.npz,yolo_bytetrack,64,1,0.739666,371,1,666,0.997305
Subject 3/ADL/11.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__11.npz,yolo_bytetrack,64,1,0.749898,361,1,672,0.997230
Subject 3/ADL/12.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__12.npz,yolo_bytetrack,64,1,0.819569,160,1,679,0.993750
Subject 3/ADL/13.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__13.npz,yolo_bytetrack,64,3,0.788298,130,1,679,0.961538
Subject 3/ADL/14.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__14.npz,yolo_bytetrack,64,3,0.855405,133,1,690,0.947368
Subject 3/ADL/15.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__15.npz,yolo_bytetrack,64,1,0.895832,115,1,700,0.991304
Subject 3/ADL/16.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__16.npz,yolo_bytetrack,64,0,0.882658,306,1,700,0.996732
Subject 3/ADL/17.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__17.npz,yolo_bytetrack,64,1,0.916576,182,2,706,0.989011
Subject 3/ADL/18.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__18.npz,yolo_bytetrack,64,1,0.877547,167,1,712,0.994012
Subject 3/ADL/19.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__19.npz,yolo_bytetrack,64,1,0.774751,98,3,723,0.989796
Subject 3/ADL/20.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__20.npz,yolo_bytetrack,64,0,0.919123,141,2,723,1.000000
Subject 3/ADL/21.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__21.npz,yolo_bytetrack,64,1,0.867900,305,1,743,0.996721
Subject 3/ADL/22.mp4,0,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__ADL__22.npz,yolo_bytetrack,64,0,0.802126,283,1,743,1.000000
Subject 3/Fall/01.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__01.npz,yolo_bytetrack,64,32,0.348951,114,2,747,0.473684
Subject 3/Fall/02.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__02.npz,yolo_bytetrack,64,34,0.353115,196,3,751,0.489796
Subject 3/Fall/03.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__03.npz,yolo_bytetrack,64,1,0.767214,167,3,763,0.982036
Subject 3/Fall/04.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__04.npz,yolo_bytetrack,64,39,0.295565,163,2,765,0.404908
Subject 3/Fall/05.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__05.npz,yolo_bytetrack,64,24,0.162210,300,3,757,0.656667
Subject 3/Fall/06.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__06.npz,yolo_bytetrack,64,10,0.210741,166,3,757,0.861446
Subject 3/Fall/07.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__07.npz,yolo_bytetrack,64,15,0.202620,269,2,757,0.769517
Subject 3/Fall/08.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__08.npz,yolo_bytetrack,64,30,0.135022,186,4,757,0.564516
Subject 3/Fall/09.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__09.npz,yolo_bytetrack,64,21,0.551344,186,2,857,0.704301
Subject 3/Fall/10.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__10.npz,yolo_bytetrack,64,31,0.382237,131,2,861,0.526718
Subject 3/Fall/11.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__11.npz,yolo_bytetrack,64,1,0.763820,267,1,866,0.996255
Subject 3/Fall/12.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__12.npz,yolo_bytetrack,64,8,0.664535,127,1,869,0.874016
Subject 3/Fall/13.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__13.npz,yolo_bytetrack,64,0,0.796541,121,1,869,1.000000
Subject 3/Fall/14.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__14.npz,yolo_bytetrack,64,19,0.536543,367,3,883,0.719346
Subject 3/Fall/15.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__15.npz,yolo_bytetrack,64,35,0.355857,85,2,901,0.458824
Subject 3/Fall/16.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__16.npz,yolo_bytetrack,64,42,0.230528,91,3,908,0.351648
Subject 3/Fall/17.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__17.npz,yolo_bytetrack,64,44,0.193409,128,2,934,0.273438
Subject 3/Fall/18.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__18.npz,yolo_bytetrack,64,41,0.341399,178,3,937,0.365169
Subject 3/Fall/19.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__19.npz,yolo_bytetrack,64,37,0.352701,86,3,947,0.430233
Subject 3/Fall/20.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__20.npz,yolo_bytetrack,64,31,0.340357,94,3,961,0.500000
Subject 3/Fall/21.mp4,1,3,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_3__Fall__21.npz,yolo_bytetrack,64,2,0.819339,274,2,972,0.970803
Subject 4/ADL/01.mp4,0,4,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_4__ADL__01.npz,yolo_bytetrack,64,1,0.901717,370,1,980,0.997297
Subject 4/ADL/02.mp4,0,4,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_4__ADL__02.npz,yolo_bytetrack,64,0,0.873408,315,1,980,1.000000
Subject 4/ADL/03.mp4,0,4,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_4__ADL__03.npz,yolo_bytetrack,64,22,0.510352,267,2,985,0.640449
Subject 4/ADL/04.mp4,0,4,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_4__ADL__04.npz,yolo_bytetrack,64,0,0.803856,388,4,985,1.000000
Subject 4/ADL/05.mp4,0,4,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_4__ADL__05.npz,yolo_bytetrack,64,3,0.635492,220,1,996,0.963636
Subject 4/ADL/06.mp4,0,4,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_4__ADL__06.npz,yolo_bytetrack,64,17,0.595790,196,1,998,0.729592
Subject 4/ADL/07.mp4,0,4,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_4__ADL__07.npz,yolo_bytetrack,64,49,0.180888,149,2,998,0.234899
Subject 4/ADL/08.mp4,0,4,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_4__ADL__08.npz,yolo_bytetrack,64,1,0.885868,368,3,1007,0.997283
Subject 4/ADL/09.mp4,0,4,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_4__ADL__09.npz,yolo_bytetrack,64,1,0.820502,362,1,1011,0.997238
Subject 4/ADL/10.mp4,0,4,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_4__ADL__10.npz,yolo_bytetrack,64,31,0.353115,382,9,1012,0.570681
Subject 4/ADL/11.mp4,0,4,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_4__ADL__11.npz,yolo_bytetrack,64,1,0.912541,320,3,1045,0.987500
Subject 4/ADL/12.mp4,0,4,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_4__ADL__12.npz,yolo_bytetrack,64,0,0.906448,257,1,1045,1.000000
