path,label,start,end,subject,cam,dataset
Subject1/Activity5/Trial3/Subject1Activity5Trial3Camera1,8,0.0,0.43858,1,1,up_fall
Subject1/Activity6/Trial1/Subject1Activity6Trial1Camera1,0,0.0,59.894071,1,1,up_fall
Subject1/Activity6/Trial2/Subject1Activity6Trial2Camera1,0,0.0,59.860512,1,1,up_fall
Subject1/Activity6/Trial3/Subject1Activity6Trial3Camera1,0,0.0,59.890292,1,1,up_fall
Subject1/Activity7/Trial1/Subject1Activity7Trial1Camera1,8,0.0,59.986518,1,1,up_fall
Subject1/Activity7/Trial2/Subject1Activity7Trial2Camera1,8,0.0,59.887775000000005,1,1,up_fall
Subject1/Activity7/Trial3/Subject1Activity7Trial3Camera1,8,0.0,59.937977,1,1,up_fall
Subject1/Activity8/Trial1/Subject1Activity8Trial1Camera1,4,0.0,59.9134,1,1,up_fall
Subject1/Activity8/Trial2/Subject1Activity8Trial2Camera1,4,0.0,59.944655,1,1,up_fall
Subject1/Activity8/Trial3/Subject1Activity8Trial3Camera1,4,0.0,59.920599,1,1,up_fall
Subject1/Activity9/Trial1/Subject1Activity9Trial1Camera1,8,0.0,0.41901,1,1,up_fall
Subject1/Activity9/Trial2/Subject1Activity9Trial2Camera1,8,0.0,0.47628,1,1,up_fall
Subject1/Activity9/Trial3/Subject1Activity9Trial3Camera1,8,0.0,0.27725,1,1,up_fall
Subject1/Activity9/Trial3/Subject1Activity9Trial3Camera1,9,0.281425,2.75703,1,1,up_fall
Subject1/Activity5/Trial2/Subject1Activity5Trial2Camera1,1,0.336,2.196,1,1,up_fall
Subject1/Activity10/Trial3/Subject1Activity10Trial3Camera1,9,0.36,29.92,1,1,up_fall
Subject1/Activity10/Trial2/Subject1Activity10Trial2Camera1,9,0.38,29.92,1,1,up_fall
Subject1/Activity5/Trial1/Subject1Activity5Trial1Camera1,1,0.422,2.462,1,1,up_fall
Subject1/Activity4/Trial1/Subject1Activity4Trial1Camera1,1,0.424,1.904,1,1,up_fall
Subject1/Activity9/Trial1/Subject1Activity9Trial1Camera1,9,0.428147,2.73092,1,1,up_fall
Subject1/Activity5/Trial3/Subject1Activity5Trial3Camera1,1,0.447212,3.243036,1,1,up_fall
Subject1/Activity9/Trial2/Subject1Activity9Trial2Camera1,9,0.46842,3.05965,1,1,up_fall
Subject1/Activity3/Trial3/Subject1Activity3Trial3Camera1,1,0.486,2.646,1,1,up_fall
Subject1/Activity1/Trial2/Subject1Activity1Trial2Camera1,1,0.496,2.756,1,1,up_fall
Subject1/Activity1/Trial3/Subject1Activity1Trial3Camera1,1,0.498,2.318,1,1,up_fall
Subject1/Activity2/Trial1/Subject1Activity2Trial1Camera1,1,0.522,2.422,1,1,up_fall
Subject1/Activity2/Trial2/Subject1Activity2Trial2Camera1,1,0.527,2.627,1,1,up_fall
Subject1/Activity4/Trial3/Subject1Activity4Trial3Camera1,1,0.571,2.331,1,1,up_fall
Subject1/Activity10/Trial1/Subject1Activity10Trial1Camera1,9,0.58,29.94,1,1,up_fall
Subject1/Activity4/Trial2/Subject1Activity4Trial2Camera1,1,0.604,1.964,1,1,up_fall
Subject1/Activity2/Trial3/Subject1Activity2Trial3Camera1,1,0.61,2.41,1,1,up_fall
Subject1/Activity3/Trial2/Subject1Activity3Trial2Camera1,1,0.733,3.293,1,1,up_fall
Subject1/Activity3/Trial1/Subject1Activity3Trial1Camera1,1,0.744,3.264,1,1,up_fall
Subject1/Activity4/Trial1/Subject1Activity4Trial1Camera1,2,1.904,9.904,1,1,up_fall
Subject1/Activity4/Trial2/Subject1Activity4Trial2Camera1,2,1.964,9.904,1,1,up_fall
Subject1/Activity5/Trial2/Subject1Activity5Trial2Camera1,2,2.196,9.896,1,1,up_fall
Subject1/Activity1/Trial3/Subject1Activity1Trial3Camera1,2,2.318,9.878,1,1,up_fall
Subject1/Activity4/Trial3/Subject1Activity4Trial3Camera1,2,2.331,9.931,1,1,up_fall
Subject1/Activity2/Trial3/Subject1Activity2Trial3Camera1,2,2.41,9.95,1,1,up_fall
Subject1/Activity2/Trial1/Subject1Activity2Trial1Camera1,2,2.422,9.902,1,1,up_fall
Subject1/Activity5/Trial1/Subject1Activity5Trial1Camera1,2,2.462,9.922,1,1,up_fall
Subject1/Activity2/Trial2/Subject1Activity2Trial2Camera1,2,2.627,9.907,1,1,up_fall
Subject1/Activity3/Trial3/Subject1Activity3Trial3Camera1,2,2.646,9.906,1,1,up_fall
Subject1/Activity9/Trial1/Subject1Activity9Trial1Camera1,8,2.740051,9.924861,1,1,up_fall
Subject1/Activity1/Trial2/Subject1Activity1Trial2Camera1,2,2.756,9.936,1,1,up_fall
Subject1/Activity9/Trial3/Subject1Activity9Trial3Camera1,8,2.765162,9.94805,1,1,up_fall
Subject1/Activity1/Trial1/Subject1Activity1Trial1Camera1,1,2.894,4.994,1,1,up_fall
Subject1/Activity9/Trial2/Subject1Activity9Trial2Camera1,8,3.054802,9.662318,1,1,up_fall
Subject1/Activity3/Trial1/Subject1Activity3Trial1Camera1,2,3.264,9.904,1,1,up_fall
Subject1/Activity5/Trial3/Subject1Activity5Trial3Camera1,2,3.2901640000000003,9.930913,1,1,up_fall
Subject1/Activity3/Trial2/Subject1Activity3Trial2Camera1,2,3.293,9.953,1,1,up_fall
Subject1/Activity1/Trial1/Subject1Activity1Trial1Camera1,2,4.994,9.874,1,1,up_fall
Subject1/Activity1/Trial1/Subject1Activity1Trial1Camera2,8,0.0,2.89409,1,2,up_fall
Subject1/Activity1/Trial2/Subject1Activity1Trial2Camera2,8,0.0,0.49556,1,2,up_fall
Subject1/Activity1/Trial3/Subject1Activity1Trial3Camera2,8,0.0,0.49794,1,2,up_fall
Subject1/Activity11/Trial1/Subject1Activity11Trial1Camera2,6,0.0,59.927987,1,2,up_fall
Subject1/Activity11/Trial2/Subject1Activity11Trial2Camera2,6,0.0,59.836073,1,2,up_fall
Subject1/Activity11/Trial3/Subject1Activity11Trial3Camera2,6,0.0,59.937114,1,2,up_fall
Subject1/Activity2/Trial1/Subject1Activity2Trial1Camera2,8,0.0,0.52242,1,2,up_fall
Subject1/Activity2/Trial2/Subject1Activity2Trial2Camera2,8,0.0,0.52651,1,2,up_fall
Subject1/Activity2/Trial3/Subject1Activity2Trial3Camera2,8,0.0,0.61006,1,2,up_fall
Subject1/Activity3/Trial1/Subject1Activity3Trial1Camera2,8,0.0,0.74399,1,2,up_fall
Subject1/Activity3/Trial2/Subject1Activity3Trial2Camera2,8,0.0,0.73254,1,2,up_fall
Subject1/Activity3/Trial3/Subject1Activity3Trial3Camera2,8,0.0,0.48611,1,2,up_fall
Subject1/Activity4/Trial1/Subject1Activity4Trial1Camera2,8,0.0,0.42392,1,2,up_fall
Subject1/Activity4/Trial2/Subject1Activity4Trial2Camera2,8,0.0,0.60365,1,2,up_fall
Subject1/Activity4/Trial3/Subject1Activity4Trial3Camera2,8,0.0,0.57105,1,2,up_fall
Subject1/Activity5/Trial1/Subject1Activity5Trial1Camera2,8,0.0,0.42178,1,2,up_fall
Subject1/Activity5/Trial2/Subject1Activity5Trial2Camera2,8,0.0,0.33636,1,2,up_fall
Subject1/Activity10/Trial1/Subject1Activity10Trial1Camera2,8,0.0,0.58,1,2,up_fall
Subject1/Activity10/Trial2/Subject1Activity10Trial2Camera2,8,0.0,0.38,1,2,up_fall
Subject1/Activity10/Trial3/Subject1Activity10Trial3Camera2,8,0.0,0.36,1,2,up_fall
Subject1/Activity5/Trial3/Subject1Activity5Trial3Camera2,8,0.0,0.43858,1,2,up_fall
Subject1/Activity6/Trial1/Subject1Activity6Trial1Camera2,0,0.0,59.894071,1,2,up_fall
Subject1/Activity6/Trial2/Subject1Activity6Trial2Camera2,0,0.0,59.860512,1,2,up_fall
Subject1/Activity6/Trial3/Subject1Activity6Trial3Camera2,0,0.0,59.890292,1,2,up_fall
Subject1/Activity7/Trial1/Subject1Activity7Trial1Camera2,8,0.0,59.986518,1,2,up_fall
Subject1/Activity7/Trial2/Subject1Activity7Trial2Camera2,8,0.0,59.887775000000005,1,2,up_fall
Subject1/Activity7/Trial3/Subject1Activity7Trial3Camera2,8,0.0,59.937977,1,2,up_fall
Subject1/Activity8/Trial1/Subject1Activity8Trial1Camera2,4,0.0,59.9134,1,2,up_fall
Subject1/Activity8/Trial2/Subject1Activity8Trial2Camera2,4,0.0,59.944655,1,2,up_fall
Subject1/Activity8/Trial3/Subject1Activity8Trial3Camera2,4,0.0,59.920599,1,2,up_fall
Subject1/Activity9/Trial1/Subject1Activity9Trial1Camera2,8,0.0,0.41901,1,2,up_fall
Subject1/Activity9/Trial2/Subject1Activity9Trial2Camera2,8,0.0,0.47628,1,2,up_fall
Subject1/Activity9/Trial3/Subject1Activity9Trial3Camera2,8,0.0,0.27725,1,2,up_fall
Subject1/Activity9/Trial3/Subject1Activity9Trial3Camera2,9,0.281425,2.75703,1,2,up_fall
Subject1/Activity5/Trial2/Subject1Activity5Trial2Camera2,1,0.336,2.196,1,2,up_fall
Subject1/Activity10/Trial3/Subject1Activity10Trial3Camera2,9,0.36,29.92,1,2,up_fall
Subject1/Activity10/Trial2/Subject1Activity10Trial2Camera2,9,0.38,29.92,1,2,up_fall
Subject1/Activity5/Trial1/Subject1Activity5Trial1Camera2,1,0.422,2.462,1,2,up_fall
Subject1/Activity4/Trial1/Subject1Activity4Trial1Camera2,1,0.424,1.904,1,2,up_fall
Subject1/Activity9/Trial1/Subject1Activity9Trial1Camera2,9,0.428147,2.73092,1,2,up_fall
Subject1/Activity5/Trial3/Subject1Activity5Trial3Camera2,1,0.447212,3.243036,1,2,up_fall
Subject1/Activity9/Trial2/Subject1Activity9Trial2Camera2,9,0.46842,3.05965,1,2,up_fall
Subject1/Activity3/Trial3/Subject1Activity3Trial3Camera2,1,0.486,2.646,1,2,up_fall
Subject1/Activity1/Trial2/Subject1Activity1Trial2Camera2,1,0.496,2.756,1,2,up_fall
Subject1/Activity1/Trial3/Subject1Activity1Trial3Camera2,1,0.498,2.318,1,2,up_fall
Subject1/Activity2/Trial1/Subject1Activity2Trial1Camera2,1,0.522,2.422,1,2,up_fall
Subject1/Activity2/Trial2/Subject1Activity2Trial2Camera2,1,0.527,2.627,1,2,up_fall
Subject1/Activity4/Trial3/Subject1Activity4Trial3Camera2,1,0.571,2.331,1,2,up_fall
Subject1/Activity10/Trial1/Subject1Activity10Trial1Camera2,9,0.58,29.94,1,2,up_fall
Subject1/Activity4/Trial2/Subject1Activity4Trial2Camera2,1,0.604,1.964,1,2,up_fall
Subject1/Activity2/Trial3/Subject1Activity2Trial3Camera2,1,0.61,2.41,1,2,up_fall
Subject1/Activity3/Trial2/Subject1Activity3Trial2Camera2,1,0.733,3.293,1,2,up_fall
Subject1/Activity3/Trial1/Subject1Activity3Trial1Camera2,1,0.744,3.264,1,2,up_fall
Subject1/Activity4/Trial1/Subject1Activity4Trial1Camera2,2,1.904,9.904,1,2,up_fall
Subject1/Activity4/Trial2/Subject1Activity4Trial2Camera2,2,1.964,9.904,1,2,up_fall
Subject1/Activity5/Trial2/Subject1Activity5Trial2Camera2,2,2.196,9.896,1,2,up_fall
Subject1/Activity1/Trial3/Subject1Activity1Trial3Camera2,2,2.318,9.878,1,2,up_fall
Subject1/Activity4/Trial3/Subject1Activity4Trial3Camera2,2,2.331,9.931,1,2,up_fall
Subject1/Activity2/Trial3/Subject1Activity2Trial3Camera2,2,2.41,9.95,1,2,up_fall
Subject1/Activity2/Trial1/Subject1Activity2Trial1Camera2,2,2.422,9.902,1,2,up_fall
Subject1/Activity5/Trial1/Subject1Activity5Trial1Camera2,2,2.462,9.922,1,2,up_fall
Subject1/Activity2/Trial2/Subject1Activity2Trial2Camera2,2,2.627,9.907,1,2,up_fall
Subject1/Activity3/Trial3/Subject1Activity3Trial3Camera2,2,2.646,9.906,1,2,up_fall
Subject1/Activity9/Trial1/Subject1Activity9Trial1Camera2,8,2.740051,9.924861,1,2,up_fall
Subject1/Activity1/Trial2/Subject1Activity1Trial2Camera2,2,2.756,9.936,1,2,up_fall
Subject1/Activity9/Trial3/Subject1Activity9Trial3Camera2,8,2.765162,9.94805,1,2,up_fall
Subject1/Activity1/Trial1/Subject1Activity1Trial1Camera2,1,2.894,4.994,1,2,up_fall
Subject1/Activity9/Trial2/Subject1Activity9Trial2Camera2,8,3.054802,9.662318,1,2,up_fall
Subject1/Activity3/Trial1/Subject1Activity3Trial1Camera2,2,3.264,9.904,1,2,up_fall
Subject1/Activity5/Trial3/Subject1Activity5Trial3Camera2,2,3.2901640000000003,9.930913,1,2,up_fall
Subject1/Activity3/Trial2/Subject1Activity3Trial2Camera2,2,3.293,9.953,1,2,up_fall
Subject1/Activity1/Trial1/Subject1Activity1Trial1Camera2,2,4.994,9.874,1,2,up_fall
Subject2/Activity1/Trial1/Subject2Activity1Trial1Camera1,0,0.0,0.652767,2,1,up_fall
Subject2/Activity1/Trial2/Subject2Activity1Trial2Camera1,8,0.0,0.28579,2,1,up_fall
Subject2/Activity1/Trial3/Subject2Activity1Trial3Camera1,8,0.0,0.660789,2,1,up_fall
Subject2/Activity10/Trial1/Subject2Activity10Trial1Camera1,9,0.0,29.888536,2,1,up_fall
Subject2/Activity10/Trial2/Subject2Activity10Trial2Camera1,9,0.0,29.90555,2,1,up_fall
Subject2/Activity10/Trial3/Subject2Activity10Trial3Camera1,9,0.0,29.878751,2,1,up_fall
Subject2/Activity11/Trial1/Subject2Activity11Trial1Camera1,6,0.0,59.909804,2,1,up_fall
Subject2/Activity11/Trial2/Subject2Activity11Trial2Camera1,6,0.0,59.964778,2,1,up_fall
Subject2/Activity11/Trial3/Subject2Activity11Trial3Camera1,6,0.0,59.884974,2,1,up_fall
Subject2/Activity2/Trial1/Subject2Activity2Trial1Camera1,8,0.0,0.53093,2,1,up_fall
Subject2/Activity2/Trial2/Subject2Activity2Trial2Camera1,8,0.0,0.662297,2,1,up_fall
Subject2/Activity2/Trial3/Subject2Activity2Trial3Camera1,8,0.0,0.280257,2,1,up_fall
Subject2/Activity3/Trial1/Subject2Activity3Trial1Camera1,8,0.0,0.43416,2,1,up_fall
Subject2/Activity3/Trial2/Subject2Activity3Trial2Camera1,8,0.0,0.188505,2,1,up_fall
Subject2/Activity3/Trial3/Subject2Activity3Trial3Camera1,8,0.0,0.661805,2,1,up_fall
Subject2/Activity4/Trial1/Subject2Activity4Trial1Camera1,8,0.0,0.924507,2,1,up_fall
Subject2/Activity4/Trial2/Subject2Activity4Trial2Camera1,8,0.0,0.897921,2,1,up_fall
Subject2/Activity4/Trial3/Subject2Activity4Trial3Camera1,8,0.0,0.436172,2,1,up_fall
Subject2/Activity5/Trial1/Subject2Activity5Trial1Camera1,8,0.0,1.151075,2,1,up_fall
Subject2/Activity5/Trial2/Subject2Activity5Trial2Camera1,8,0.0,1.20522,2,1,up_fall
Subject2/Activity5/Trial3/Subject2Activity5Trial3Camera1,8,0.0,1.357126,2,1,up_fall
Subject2/Activity6/Trial1/Subject2Activity6Trial1Camera1,0,0.0,59.89628,2,1,up_fall
Subject2/Activity6/Trial2/Subject2Activity6Trial2Camera1,0,0.0,59.892883000000005,2,1,up_fall
Subject2/Activity6/Trial3/Subject2Activity6Trial3Camera1,0,0.0,59.939741000000005,2,1,up_fall
Subject2/Activity7/Trial1/Subject2Activity7Trial1Camera1,8,0.0,59.973622000000006,2,1,up_fall
Subject2/Activity7/Trial2/Subject2Activity7Trial2Camera1,8,0.0,59.923032,2,1,up_fall
Subject2/Activity7/Trial3/Subject2Activity7Trial3Camera1,8,0.0,59.956222,2,1,up_fall
Subject2/Activity8/Trial1/Subject2Activity8Trial1Camera1,4,0.0,59.941156,2,1,up_fall
Subject2/Activity8/Trial2/Subject2Activity8Trial2Camera1,4,0.0,59.870416,2,1,up_fall
Subject2/Activity8/Trial3/Subject2Activity8Trial3Camera1,4,0.0,59.947528,2,1,up_fall
Subject2/Activity9/Trial1/Subject2Activity9Trial1Camera1,8,0.0,0.90347,2,1,up_fall
Subject2/Activity9/Trial2/Subject2Activity9Trial2Camera1,8,0.0,0.373498,2,1,up_fall
Subject2/Activity9/Trial3/Subject2Activity9Trial3Camera1,8,0.0,0.180488,2,1,up_fall
Subject2/Activity9/Trial3/Subject2Activity9Trial3Camera1,9,0.2266169999999999,1.945792,2,1,up_fall
Subject2/Activity3/Trial2/Subject2Activity3Trial2Camera1,1,0.24716,4.11556,2,1,up_fall
Subject2/Activity2/Trial3/Subject2Activity2Trial3Camera1,1,0.336911,2.671202,2,1,up_fall
Subject2/Activity1/Trial2/Subject2Activity1Trial2Camera1,1,0.351967,3.471375,2,1,up_fall
Subject2/Activity9/Trial2/Subject2Activity9Trial2Camera1,9,0.425637,2.31713,2,1,up_fall
Subject2/Activity3/Trial1/Subject2Activity3Trial1Camera1,1,0.478278,3.73224,2,1,up_fall
Subject2/Activity4/Trial3/Subject2Activity4Trial3Camera1,1,0.493825,3.265312,2,1,up_fall
Subject2/Activity2/Trial1/Subject2Activity2Trial1Camera1,1,0.591097,3.335997,2,1,up_fall
Subject2/Activity3/Trial3/Subject2Activity3Trial3Camera1,1,0.715949,3.071314,2,1,up_fall
Subject2/Activity1/Trial1/Subject2Activity1Trial1Camera1,1,0.719948,3.179412,2,1,up_fall
Subject2/Activity2/Trial2/Subject2Activity2Trial2Camera1,1,0.720953,2.725752,2,1,up_fall
Subject2/Activity1/Trial3/Subject2Activity1Trial3Camera1,1,0.729475,3.323386,2,1,up_fall
Subject2/Activity9/Trial1/Subject2Activity9Trial1Camera1,9,0.903,3.23174,2,1,up_fall
Subject2/Activity4/Trial2/Subject2Activity4Trial2Camera1,1,0.960588,3.50764,2,1,up_fall
Subject2/Activity4/Trial1/Subject2Activity4Trial1Camera1,1,0.967121,2.87625,2,1,up_fall
Subject2/Activity5/Trial1/Subject2Activity5Trial1Camera1,1,1.208729,4.665465,2,1,up_fall
Subject2/Activity5/Trial2/Subject2Activity5Trial2Camera1,1,1.249839,4.624856,2,1,up_fall
Subject2/Activity5/Trial3/Subject2Activity5Trial3Camera1,1,1.559667,4.619341,2,1,up_fall
Subject2/Activity9/Trial3/Subject2Activity9Trial3Camera1,8,2.008462,9.880954,2,1,up_fall
Subject2/Activity9/Trial2/Subject2Activity9Trial2Camera1,8,2.374289,9.875933000000002,2,1,up_fall
Subject2/Activity2/Trial3/Subject2Activity2Trial3Camera1,2,2.719336,9.964328,2,1,up_fall
Subject2/Activity2/Trial2/Subject2Activity2Trial2Camera1,2,2.768867,9.894086,2,1,up_fall
Subject2/Activity4/Trial1/Subject2Activity4Trial1Camera1,2,2.92037,9.921721,2,1,up_fall
Subject2/Activity3/Trial3/Subject2Activity3Trial3Camera1,2,3.134986,9.898117,2,1,up_fall
Subject2/Activity1/Trial1/Subject2Activity1Trial1Camera1,2,3.26113,9.92028,2,1,up_fall
Subject2/Activity9/Trial1/Subject2Activity9Trial1Camera1,8,3.293908,9.897452,2,1,up_fall
Subject2/Activity4/Trial3/Subject2Activity4Trial3Camera1,2,3.340519,9.889052,2,1,up_fall
Subject2/Activity1/Trial3/Subject2Activity1Trial3Camera1,2,3.3695120000000003,9.951288,2,1,up_fall
Subject2/Activity2/Trial1/Subject2Activity2Trial1Camera1,2,3.376608,9.947678,2,1,up_fall
Subject2/Activity4/Trial2/Subject2Activity4Trial2Camera1,2,3.508,9.93158,2,1,up_fall
Subject2/Activity1/Trial2/Subject2Activity1Trial2Camera1,2,3.526021,9.911194,2,1,up_fall
Subject2/Activity3/Trial1/Subject2Activity3Trial1Camera1,2,3.796913,9.899604,2,1,up_fall
Subject2/Activity3/Trial2/Subject2Activity3Trial2Camera1,2,4.162686,9.930182,2,1,up_fall
Subject2/Activity5/Trial3/Subject2Activity5Trial3Camera1,2,4.70858,9.949974,2,1,up_fall
Subject2/Activity5/Trial1/Subject2Activity5Trial1Camera1,2,4.714596,9.901955,2,1,up_fall
Subject2/Activity5/Trial2/Subject2Activity5Trial2Camera1,2,4.760719,9.926019,2,1,up_fall
Subject2/Activity1/Trial1/Subject2Activity1Trial1Camera2,0,0.0,0.652767,2,2,up_fall
Subject2/Activity1/Trial2/Subject2Activity1Trial2Camera2,8,0.0,0.28579,2,2,up_fall
Subject2/Activity1/Trial3/Subject2Activity1Trial3Camera2,8,0.0,0.660789,2,2,up_fall
Subject2/Activity10/Trial1/Subject2Activity10Trial1Camera2,9,0.0,29.888536,2,2,up_fall
Subject2/Activity10/Trial2/Subject2Activity10Trial2Camera2,9,0.0,29.90555,2,2,up_fall
Subject2/Activity10/Trial3/Subject2Activity10Trial3Camera2,9,0.0,29.878751,2,2,up_fall
Subject2/Activity11/Trial1/Subject2Activity11Trial1Camera2,6,0.0,59.909804,2,2,up_fall
Subject2/Activity11/Trial2/Subject2Activity11Trial2Camera2,6,0.0,59.964778,2,2,up_fall
Subject2/Activity11/Trial3/Subject2Activity11Trial3Camera2,6,0.0,59.884974,2,2,up_fall
Subject2/Activity2/Trial1/Subject2Activity2Trial1Camera2,8,0.0,0.53093,2,2,up_fall
Subject2/Activity2/Trial2/Subject2Activity2Trial2Camera2,8,0.0,0.662297,2,2,up_fall
Subject2/Activity2/Trial3/Subject2Activity2Trial3Camera2,8,0.0,0.280257,2,2,up_fall
Subject2/Activity3/Trial1/Subject2Activity3Trial1Camera2,8,0.0,0.43416,2,2,up_fall
Subject2/Activity3/Trial2/Subject2Activity3Trial2Camera2,8,0.0,0.188505,2,2,up_fall
Subject2/Activity3/Trial3/Subject2Activity3Trial3Camera2,8,0.0,0.661805,2,2,up_fall
Subject2/Activity4/Trial1/Subject2Activity4Trial1Camera2,8,0.0,0.924507,2,2,up_fall
Subject2/Activity4/Trial2/Subject2Activity4Trial2Camera2,8,0.0,0.897921,2,2,up_fall
Subject2/Activity4/Trial3/Subject2Activity4Trial3Camera2,8,0.0,0.436172,2,2,up_fall
Subject2/Activity5/Trial1/Subject2Activity5Trial1Camera2,8,0.0,1.151075,2,2,up_fall
Subject2/Activity5/Trial2/Subject2Activity5Trial2Camera2,8,0.0,1.20522,2,2,up_fall
Subject2/Activity5/Trial3/Subject2Activity5Trial3Camera2,8,0.0,1.357126,2,2,up_fall
Subject2/Activity6/Trial1/Subject2Activity6Trial1Camera2,0,0.0,59.89628,2,2,up_fall
Subject2/Activity6/Trial2/Subject2Activity6Trial2Camera2,0,0.0,59.892883000000005,2,2,up_fall
Subject2/Activity6/Trial3/Subject2Activity6Trial3Camera2,0,0.0,59.939741000000005,2,2,up_fall
Subject2/Activity7/Trial1/Subject2Activity7Trial1Camera2,8,0.0,59.973622000000006,2,2,up_fall
Subject2/Activity7/Trial2/Subject2Activity7Trial2Camera2,8,0.0,59.923032,2,2,up_fall
Subject2/Activity7/Trial3/Subject2Activity7Trial3Camera2,8,0.0,59.956222,2,2,up_fall
Subject2/Activity8/Trial1/Subject2Activity8Trial1Camera2,4,0.0,59.941156,2,2,up_fall
Subject2/Activity8/Trial2/Subject2Activity8Trial2Camera2,4,0.0,59.870416,2,2,up_fall
Subject2/Activity8/Trial3/Subject2Activity8Trial3Camera2,4,0.0,59.947528,2,2,up_fall
Subject2/Activity9/Trial1/Subject2Activity9Trial1Camera2,8,0.0,0.90347,2,2,up_fall
Subject2/Activity9/Trial2/Subject2Activity9Trial2Camera2,8,0.0,0.373498,2,2,up_fall
Subject2/Activity9/Trial3/Subject2Activity9Trial3Camera2,8,0.0,0.180488,2,2,up_fall
Subject2/Activity9/Trial3/Subject2Activity9Trial3Camera2,9,0.2266169999999999,1.945792,2,2,up_fall
Subject2/Activity3/Trial2/Subject2Activity3Trial2Camera2,1,0.24716,4.11556,2,2,up_fall
Subject2/Activity2/Trial3/Subject2Activity2Trial3Camera2,1,0.336911,2.671202,2,2,up_fall
Subject2/Activity1/Trial2/Subject2Activity1Trial2Camera2,1,0.351967,3.471375,2,2,up_fall
Subject2/Activity9/Trial2/Subject2Activity9Trial2Camera2,9,0.425637,2.31713,2,2,up_fall
Subject2/Activity3/Trial1/Subject2Activity3Trial1Camera2,1,0.478278,3.73224,2,2,up_fall
Subject2/Activity4/Trial3/Subject2Activity4Trial3Camera2,1,0.493825,3.265312,2,2,up_fall
Subject2/Activity2/Trial1/Subject2Activity2Trial1Camera2,1,0.591097,3.335997,2,2,up_fall
Subject2/Activity3/Trial3/Subject2Activity3Trial3Camera2,1,0.715949,3.071314,2,2,up_fall
Subject2/Activity1/Trial1/Subject2Activity1Trial1Camera2,1,0.719948,3.179412,2,2,up_fall
Subject2/Activity2/Trial2/Subject2Activity2Trial2Camera2,1,0.720953,2.725752,2,2,up_fall
Subject2/Activity1/Trial3/Subject2Activity1Trial3Camera2,1,0.729475,3.323386,2,2,up_fall
Subject2/Activity9/Trial1/Subject2Activity9Trial1Camera2,9,0.903,3.23174,2,2,up_fall
Subject2/Activity4/Trial2/Subject2Activity4Trial2Camera2,1,0.960588,3.50764,2,2,up_fall
Subject2/Activity4/Trial1/Subject2Activity4Trial1Camera2,1,0.967121,2.87625,2,2,up_fall
Subject2/Activity5/Trial1/Subject2Activity5Trial1Camera2,1,1.208729,4.665465,2,2,up_fall
Subject2/Activity5/Trial2/Subject2Activity5Trial2Camera2,1,1.249839,4.624856,2,2,up_fall
Subject2/Activity5/Trial3/Subject2Activity5Trial3Camera2,1,1.559667,4.619341,2,2,up_fall
Subject2/Activity9/Trial3/Subject2Activity9Trial3Camera2,8,2.008462,9.880954,2,2,up_fall
Subject2/Activity9/Trial2/Subject2Activity9Trial2Camera2,8,2.374289,9.875933000000002,2,2,up_fall
Subject2/Activity2/Trial3/Subject2Activity2Trial3Camera2,2,2.719336,9.964328,2,2,up_fall
