route,family,accuracy,precision,recall,specificity,f1,balanced_accuracy,additional_video_ms,note
alphapose+stgcnpp,300-epoch skeleton baseline,0.79375,0.7674418604651163,0.8354430379746836,0.7530864197530864,0.8,0.794264728863885,0.0,classifier 11.97 ms; pose frontend excluded
YOLO-Pose + ST-GCN++ + V-JEPA feature fusion,V-JEPA fusion,0.79375,0.7875,0.7974683544303798,0.7901234567901234,0.7924528301886793,0.7937959056102516,714.1679906235368,full-video 16-frame frozen features; head trained 300 epochs/fold
YOLO-Pose + ByteTrack + ST-GCN++ + V-JEPA score fusion,V-JEPA fusion,0.7875,0.7142857142857143,0.9493670886075949,0.6296296296296297,0.8152173913043479,0.7894983591186122,714.1679906235368,fusion weight selected on validation fold
yolo+ctrgcn,300-epoch skeleton baseline,0.7875,0.7647058823529411,0.8227848101265823,0.7530864197530864,0.7926829268292683,0.7879356149398344,0.0,classifier 22.08 ms; pose frontend excluded
YOLO-Pose + ST-GCN++ + Qwen safety union,Qwen fusion,0.78125,0.7619047619047619,0.810126582278481,0.7530864197530864,0.7852760736196319,0.7816065010157838,4890.013939370692,fixed OR rule; Qwen must run always or on a broader low-threshold trigger
rtmo+stgcnpp,300-epoch skeleton baseline,0.78125,0.7682926829268293,0.7974683544303798,0.7654320987654321,0.782608695652174,0.781450226597906,0.0,classifier 9.71 ms; pose frontend excluded
yolo+stgcnpp,300-epoch skeleton baseline,0.775,0.7590361445783133,0.7974683544303798,0.7530864197530864,0.7777777777777778,0.7752773870917331,0.0,classifier 9.61 ms; pose frontend excluded
YOLO-Pose + ST-GCN++ + Qwen weighted fusion,Qwen fusion,0.775,0.7590361445783133,0.7974683544303798,0.7530864197530864,0.7777777777777778,0.7752773870917331,4890.013939370692,self-reported Qwen confidence; validation-selected weight
hourglass+stgcnpp,300-epoch skeleton baseline,0.76875,0.7560975609756098,0.7848101265822784,0.7530864197530864,0.7701863354037267,0.7689482731676824,0.0,classifier 17.63 ms; pose frontend excluded
rtmo+posec3d,300-epoch skeleton baseline,0.7625,0.7252747252747253,0.8354430379746836,0.691358024691358,0.7764705882352941,0.7634005313330208,0.0,classifier 1.47 ms; pose frontend excluded
alphapose+posec3d,300-epoch skeleton baseline,0.7625,0.7303370786516854,0.8227848101265823,0.7037037037037037,0.7738095238095237,0.763244256915143,0.0,classifier 3.56 ms; pose frontend excluded
openpose+ctrgcn,300-epoch skeleton baseline,0.7625,0.7303370786516854,0.8227848101265823,0.7037037037037037,0.7738095238095237,0.763244256915143,0.0,classifier 26.37 ms; pose frontend excluded
hourglass+ctrgcn,300-epoch skeleton baseline,0.75625,0.717391304347826,0.8354430379746836,0.6790123456790124,0.7719298245614035,0.7572276918268479,0.0,classifier 27.99 ms; pose frontend excluded
yolo+posec3d,300-epoch skeleton baseline,0.75625,0.7272727272727273,0.810126582278481,0.7037037037037037,0.7664670658682634,0.7569151429910923,0.0,classifier 2.45 ms; pose frontend excluded
YOLO-Pose + ST-GCN++ + V-JEPA score fusion,V-JEPA fusion,0.75,0.693069306930693,0.8860759493670886,0.6172839506172839,0.7777777777777777,0.7516799499921862,714.1679906235368,fusion weight selected on validation fold
alphapose+ctrgcn,300-epoch skeleton baseline,0.74375,0.7159090909090909,0.7974683544303798,0.691358024691358,0.7544910179640718,0.7444131895608689,0.0,classifier 23.63 ms; pose frontend excluded
rtmo+ctrgcn,300-epoch skeleton baseline,0.73125,0.725,0.7341772151898734,0.7283950617283951,0.7295597484276729,0.7312861384591343,0.0,classifier 20.27 ms; pose frontend excluded
openpose+stgcnpp,300-epoch skeleton baseline,0.725,0.7108433734939759,0.7468354430379747,0.7037037037037037,0.728395061728395,0.7252695733708392,0.0,classifier 12.48 ms; pose frontend excluded
hourglass+posec3d,300-epoch skeleton baseline,0.71875,0.6808510638297872,0.810126582278481,0.6296296296296297,0.7398843930635838,0.7198781059540553,0.0,classifier 2.28 ms; pose frontend excluded
openpose+posec3d,300-epoch skeleton baseline,0.69375,0.6923076923076923,0.6835443037974683,0.7037037037037037,0.6878980891719746,0.6936240037505861,0.0,classifier 2.62 ms; pose frontend excluded
